bowler,runs,balls,matches,wickets,overs,economy,average,strike_rate
A Mishra,342,230,10,8.0,38.333333333333336,8.921739130434782,42.75,28.75
A Nehra,143,93,4,8.0,15.5,9.225806451612904,17.875,11.625
AB Dinda,271,195,9,5.0,32.5,8.338461538461539,54.2,39.0
AD Russell,54,31,2,2.0,5.166666666666667,10.451612903225806,27.0,15.5
AN Ahmed,120,89,4,3.0,14.833333333333334,8.089887640449438,40.0,29.666666666666668
AR Patel,424,403,17,19.0,67.16666666666667,6.312655086848634,22.31578947368421,21.210526315789473
Ankit Sharma,44,48,2,4.0,8.0,5.5,11.0,12.0
B Kumar,362,327,14,21.0,54.5,6.6422018348623855,17.238095238095237,15.571428571428571
BCJ Cutting,31,24,1,2.0,4.0,7.75,15.5,12.0
BE Hendricks,127,75,3,4.0,12.5,10.16,31.75,18.75
BW Hilfenhaus,255,175,8,9.0,29.166666666666668,8.742857142857142,28.333333333333332,19.444444444444443
CJ Anderson,188,114,9,4.0,19.0,9.894736842105264,47.0,28.5
DJ Hussey,38,18,1,2.0,3.0,12.666666666666666,19.0,9.0
DJG Sammy,159,88,8,3.0,14.666666666666666,10.840909090909092,53.0,29.333333333333332
DR Smith,99,62,5,4.0,10.333333333333334,9.580645161290322,24.75,15.5
DS Kulkarni,226,173,8,6.0,28.833333333333332,7.838150289017341,37.666666666666664,28.833333333333332
DW Steyn,441,342,14,12.0,57.0,7.7368421052631575,36.75,28.5
GJ Maxwell,133,70,7,1.0,11.666666666666666,11.4,133.0,70.0
HV Patel,118,71,3,4.0,11.833333333333334,9.971830985915492,29.5,17.75
Harbhajan Singh,365,336,14,14.0,56.0,6.517857142857143,26.071428571428573,24.0
I Sharma,101,68,3,3.0,11.333333333333334,8.911764705882353,33.666666666666664,22.666666666666668
IC Pandey,331,255,12,7.0,42.5,7.788235294117647,47.285714285714285,36.42857142857143
IK Pathan,209,144,10,6.0,24.0,8.708333333333334,34.833333333333336,24.0
Imran Tahir,176,131,6,11.0,21.833333333333332,8.061068702290077,16.0,11.909090909090908
Iqbal Abdulla,18,12,1,0.0,2.0,9.0,inf,inf
JA Morkel,127,101,6,4.0,16.833333333333332,7.544554455445545,31.75,25.25
JD Unadkat,278,189,9,10.0,31.5,8.825396825396826,27.8,18.9
JDS Neesham,96,57,4,1.0,9.5,10.105263157894736,96.0,57.0
JH Kallis,193,134,8,4.0,22.333333333333332,8.64179104477612,48.25,33.5
JJ Bumrah,307,246,11,6.0,41.0,7.487804878048781,51.166666666666664,41.0
JO Holder,35,20,1,1.0,3.3333333333333335,10.5,35.0,20.0
JP Duminy,242,204,11,3.0,34.0,7.117647058823529,80.66666666666667,68.0
JP Faulkner,449,278,13,17.0,46.333333333333336,9.690647482014388,26.41176470588235,16.352941176470587
JW Hastings,29,19,1,1.0,3.1666666666666665,9.157894736842106,29.0,19.0
K Santokie,91,51,2,3.0,8.5,10.705882352941176,30.333333333333332,17.0
KA Pollard,265,160,12,3.0,26.666666666666668,9.9375,88.33333333333333,53.333333333333336
KK Cooper,146,110,5,4.0,18.333333333333332,7.963636363636364,36.5,27.5
KV Sharma,393,307,14,17.0,51.166666666666664,7.6807817589576555,23.11764705882353,18.058823529411764
KW Richardson,209,167,7,10.0,27.833333333333332,7.508982035928144,20.9,16.7
Karanveer Singh,164,126,5,12.0,21.0,7.809523809523809,13.666666666666666,10.5
L Balaji,305,211,9,12.0,35.166666666666664,8.672985781990523,25.416666666666668,17.583333333333332
LMP Simmons,34,18,1,1.0,3.0,11.333333333333334,34.0,18.0
LR Shukla,88,58,5,1.0,9.666666666666666,9.10344827586207,88.0,58.0
M Kartik,91,49,2,2.0,8.166666666666666,11.142857142857144,45.5,24.5
M Morkel,376,305,12,13.0,50.833333333333336,7.396721311475409,28.923076923076923,23.46153846153846
M Muralitharan,125,99,5,4.0,16.5,7.575757575757576,31.25,24.75
M Vijay,13,6,1,0.0,1.0,13.0,inf,inf
M de Lange,33,26,1,2.0,4.333333333333333,7.615384615384616,16.5,13.0
MA Starc,419,340,14,17.0,56.666666666666664,7.394117647058824,24.647058823529413,20.0
MC Henriques,96,63,4,4.0,10.5,9.142857142857142,24.0,15.75
MG Johnson,450,340,14,17.0,56.666666666666664,7.9411764705882355,26.470588235294116,20.0
MK Tiwary,28,12,1,0.0,2.0,14.0,inf,inf
MM Sharma,457,324,16,26.0,54.0,8.462962962962964,17.576923076923077,12.461538461538462
Mohammed Shami,381,281,12,10.0,46.833333333333336,8.135231316725978,38.1,28.1
NM Coulter-Nile,27,26,1,2.0,4.333333333333333,6.230769230769231,13.5,13.0
P Awana,248,146,7,9.0,24.333333333333332,10.191780821917808,27.555555555555557,16.22222222222222
P Kumar,81,73,3,4.0,12.166666666666666,6.657534246575342,20.25,18.25
P Negi,76,43,2,1.0,7.166666666666667,10.604651162790697,76.0,43.0
P Suyal,35,21,1,1.0,3.5,10.0,35.0,21.0
PJ Cummins,29,24,1,2.0,4.0,7.25,14.5,12.0
PP Chawla,304,238,11,14.0,39.666666666666664,7.663865546218488,21.714285714285715,17.0
PP Ojha,385,282,12,5.0,47.0,8.191489361702128,77.0,56.4
PV Tambe,365,304,13,15.0,50.666666666666664,7.203947368421053,24.333333333333332,20.266666666666666
Parvez Rasool,83,56,3,1.0,9.333333333333334,8.892857142857142,83.0,56.0
R Ashwin,446,379,16,17.0,63.166666666666664,7.060686015831135,26.235294117647058,22.294117647058822
R Bhatia,287,232,12,13.0,38.666666666666664,7.422413793103448,22.076923076923077,17.846153846153847
R Dhawan,373,294,13,15.0,49.0,7.612244897959184,24.866666666666667,19.6
R Rampaul,37,37,2,2.0,6.166666666666667,6.0,18.5,18.5
R Sharma,65,36,2,1.0,6.0,10.833333333333334,65.0,36.0
R Shukla,105,58,3,3.0,9.666666666666666,10.862068965517242,35.0,19.333333333333332
R Tewatia,59,55,3,3.0,9.166666666666666,6.4363636363636365,19.666666666666668,18.333333333333332
R Vinay Kumar,294,194,9,10.0,32.333333333333336,9.092783505154639,29.4,19.4
RA Jadeja,446,332,16,20.0,55.333333333333336,8.06024096385542,22.3,16.6
RG Sharma,26,18,2,1.0,3.0,8.666666666666666,26.0,18.0
RN ten Doeschate,35,30,4,1.0,5.0,7.0,35.0,30.0
S Badree,103,87,4,2.0,14.5,7.103448275862069,51.5,43.5
S Gopal,113,85,4,6.0,14.166666666666666,7.976470588235294,18.833333333333332,14.166666666666666
S Kaul,136,82,5,2.0,13.666666666666666,9.951219512195122,68.0,41.0
S Nadeem,314,235,11,9.0,39.166666666666664,8.017021276595745,34.888888888888886,26.11111111111111
S Rana,16,12,2,0.0,2.0,8.0,inf,inf
SA Yadav,8,6,1,0.0,1.0,8.0,inf,inf
SB Jakati,41,22,1,0.0,3.6666666666666665,11.181818181818182,inf,inf
SK Raina,135,109,8,1.0,18.166666666666668,7.431192660550458,135.0,109.0
SL Malinga,267,243,10,17.0,40.5,6.592592592592593,15.705882352941176,14.294117647058824
SP Narine,432,392,16,22.0,65.33333333333333,6.612244897959184,19.636363636363637,17.818181818181817
SR Watson,169,134,9,7.0,22.333333333333332,7.567164179104478,24.142857142857142,19.142857142857142
STR Binny,65,54,8,4.0,9.0,7.222222222222222,16.25,13.5
Sandeep Sharma,358,255,11,19.0,42.5,8.423529411764706,18.842105263157894,13.421052631578947
Shakib Al Hasan,339,307,13,15.0,51.166666666666664,6.625407166123779,22.6,20.466666666666665
Shivam Sharma,121,96,4,3.0,16.0,7.5625,40.333333333333336,32.0
TG Southee,78,63,3,0.0,10.5,7.428571428571429,inf,inf
UT Yadav,381,283,12,12.0,47.166666666666664,8.07773851590106,31.75,23.583333333333332
V Shankar,19,6,1,0.0,1.0,19.0,inf,inf
VR Aaron,309,238,10,16.0,39.666666666666664,7.789915966386555,19.3125,14.875
