match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number,result_type,result_margin
2009_26,2009,2009-05-03,RCB,MI,New Wanderers Stadium,Johannesburg,MI,bat,RCB,0,9,JH Kallis,26,wickets,9
2009_29,2009,2009-05-05,DD,KKR,Kingsmead,Durban,KKR,bat,DD,0,9,G Gambhir,29,wickets,9
2009_31,2009,2009-05-07,RCB,RR,SuperSport Park,Centurion,RR,field,RR,0,7,A Singh,31,wickets,7
2009_33,2009,2009-05-08,DD,MI,Buffalo Park,East London,MI,bat,DD,0,7,A Nehra,33,wickets,7
2009_34,2009,2009-05-09,CSK,RR,De Beers Diamond Oval,Kimberley,RR,bat,CSK,0,7,S Badrinath,34,wickets,7
2009_35,2009,2009-05-09,SRH,KXIP,De Beers Diamond Oval,Kimberley,KXIP,field,KXIP,0,3,DPMD Jayawardene,35,wickets,3
2009_36,2009,2009-05-10,DD,KKR,New Wanderers Stadium,Johannesburg,DD,field,DD,0,7,A Mishra,36,wickets,7
2009_39,2009,2009-05-12,RCB,KKR,SuperSport Park,Centurion,RCB,field,RCB,0,6,LRPL Taylor,39,wickets,6
2009_40,2009,2009-05-12,KXIP,MI,SuperSport Park,Centurion,KXIP,bat,MI,0,8,Harbhajan Singh,40,wickets,8
2009_42,2009,2009-05-14,RCB,CSK,Kingsmead,Durban,CSK,bat,RCB,0,2,LRPL Taylor,42,wickets,2
2009_44,2009,2009-05-15,DD,KXIP,OUTsurance Oval,Bloemfontein,KXIP,field,KXIP,0,6,B Lee,44,wickets,6
2009_45,2009,2009-05-16,CSK,MI,St George's Park,Port Elizabeth,MI,bat,CSK,0,7,ML Hayden,45,wickets,7
2009_46,2009,2009-05-16,SRH,KKR,New Wanderers Stadium,Johannesburg,SRH,field,SRH,0,6,RG Sharma,46,wickets,6
2009_49,2009,2009-05-18,CSK,KKR,SuperSport Park,Centurion,CSK,bat,KKR,0,7,BJ Hodge,49,wickets,7
2009_50,2009,2009-05-19,RCB,DD,New Wanderers Stadium,Johannesburg,DD,bat,RCB,0,7,JH Kallis,50,wickets,7
2009_51,2009,2009-05-20,KKR,RR,Kingsmead,Durban,KKR,field,KKR,0,4,LR Shukla,51,wickets,4
2009_54,2009,2009-05-21,DD,MI,SuperSport Park,Centurion,DD,field,DD,0,4,V Sehwag,54,wickets,4
2009_55,2009,2009-05-22,DD,SRH,SuperSport Park,Centurion,SRH,field,SRH,0,6,AC Gilchrist,55,wickets,6
2009_56,2009,2009-05-23,RCB,CSK,New Wanderers Stadium,Johannesburg,RCB,field,RCB,0,6,MK Pandey,56,wickets,6
2010_03,2010,2010-03-13,KXIP,DD,PCA IS Bindra Stadium,Chandigarh,DD,field,DD,0,5,G Gambhir,3,wickets,5
2010_05,2010,2010-03-14,KKR,RCB,Eden Gardens,Kolkata,KKR,field,KKR,0,7,MK Tiwary,5,wickets,7
2010_06,2010,2010-03-15,RR,DD,Narendra Modi Stadium,Ahmedabad,DD,field,DD,0,6,V Sehwag,6,wickets,6
