type,description,winner,margin
Highest Scoring Match,RCB vs SRH,RCB,409 runs total
Closest Run Victory,DD vs GL,GL,1 runs
Closest Wicket Victory,RPS vs KKR,KKR,2 wickets
Most Sixes in a Match,RCB vs SRH,RCB,23 sixes
