,runs,wickets,batting_sr,bowling_economy
AD Mathews,172.0,6.0,121.98581560283688,7.819148936170213
RA Jadeja,201.0,15.0,144.6043165467626,7.465648854961833
NLTC Perera,235.0,21.0,135.83815028901734,7.967479674796748
KA Pollard,420.0,10.0,144.82758620689654,8.893401015228426
Azhar Mahmood,196.0,16.0,124.0506329113924,7.52808988764045
DJ Bravo,121.0,34.0,108.03571428571428,7.729591836734694
DJG Sammy,174.0,11.0,127.94117647058823,7.3478260869565215
SR Watson,543.0,16.0,138.1679389312977,7.4765625
JH Kallis,311.0,19.0,95.10703363914374,7.422492401215806
Harbhajan Singh,116.0,25.0,141.46341463414635,6.502325581395349
MC Henriques,165.0,8.0,129.92125984251967,8.5
MR Marsh,140.0,7.0,128.44036697247708,9.049180327868854
STR Binny,293.0,7.0,143.62745098039215,6.5637583892617455
IK Pathan,153.0,11.0,96.22641509433963,7.447619047619048
Yuvraj Singh,238.0,6.0,123.3160621761658,6.857142857142857
