type,description,winner,margin
Highest Scoring Match,SRH vs RCB,SRH,549 runs total
Closest Run Victory,KKR vs RCB,KKR,1 runs
Closest Wicket Victory,KKR vs RR,RR,2 wickets
Most Sixes in a Match,KKR vs PBKS,PBKS,42 sixes
