batter,runs,balls,matches,dismissals,average,strike_rate,sixes,fours,highest_score
A Chopra,11,20,1,1.0,11.0,55.00000000000001,0.0,2.0,11
A Flintoff,62,57,3,2.0,31.0,108.77192982456141,2.0,5.0,24
A Kumble,16,20,6,1.0,16.0,80.0,0.0,2.0,7
A Mishra,26,20,5,2.0,13.0,130.0,2.0,2.0,13
A Nehra,1,1,1,0.0,1.0,100.0,0.0,0.0,1
A Singh,1,3,2,1.0,1.0,33.33333333333333,0.0,0.0,1
A Symonds,249,171,8,8.0,31.125,145.61403508771932,11.0,15.0,60
AA Bilakhia,67,84,6,4.0,16.75,79.76190476190477,0.0,5.0,22
AB Agarkar,66,58,5,2.0,33.0,113.79310344827587,3.0,3.0,39
AB Dinda,2,3,2,2.0,1.0,66.66666666666666,0.0,0.0,2
AB McDonald,3,4,1,1.0,3.0,75.0,0.0,0.0,3
AB de Villiers,465,359,13,9.0,51.666666666666664,129.52646239554318,12.0,39.0,105
AC Gilchrist,495,337,16,16.0,30.9375,146.88427299703264,29.0,54.0,85
AD Mascarenhas,39,39,4,4.0,9.75,100.0,0.0,4.0,27
AD Mathews,16,14,1,1.0,16.0,114.28571428571428,0.0,2.0,16
AM Nayar,193,155,11,10.0,19.3,124.51612903225806,7.0,14.0,35
AM Rahane,144,128,7,6.0,24.0,112.5,3.0,12.0,62
AN Ghosh,7,8,2,2.0,3.5,87.5,0.0,1.0,7
AS Raut,78,65,7,5.0,15.6,120.0,3.0,5.0,36
B Akhil,17,16,3,3.0,5.666666666666667,106.25,1.0,1.0,9
B Lee,28,35,4,2.0,14.0,80.0,1.0,2.0,14
BAW Mendis,0,1,1,1.0,0.0,0.0,0.0,0.0,0
BB McCullum,286,248,13,12.0,23.833333333333332,115.3225806451613,12.0,27.0,84
BJ Hodge,365,317,12,10.0,36.5,115.14195583596214,9.0,34.0,73
C Nanda,0,1,1,1.0,0.0,0.0,0.0,0.0,0
CH Gayle,184,159,7,7.0,26.285714285714285,115.72327044025157,10.0,18.0,54
D du Preez,10,13,1,1.0,10.0,76.92307692307693,0.0,0.0,10
DA Warner,163,137,7,7.0,23.285714285714285,118.97810218978103,5.0,16.0,51
DB Ravi Teja,65,71,6,4.0,16.25,91.54929577464789,0.0,7.0,27
DJ Bravo,218,211,10,8.0,27.25,103.3175355450237,8.0,15.0,70
DJ Hussey,98,61,4,3.0,32.666666666666664,160.65573770491804,6.0,7.0,43
DL Vettori,34,32,3,2.0,17.0,106.25,0.0,3.0,29
DPMD Jayawardene,219,172,10,7.0,31.285714285714285,127.32558139534885,7.0,17.0,52
DR Smith,215,134,8,8.0,26.875,160.44776119402985,15.0,12.0,49
DS Kulkarni,9,18,3,2.0,4.5,50.0,0.0,0.0,7
DW Steyn,0,3,1,1.0,0.0,0.0,0.0,0.0,0
