bowler,bowled,caught,caught and bowled,hit wicket,lbw,obstructing the field,retired hurt,retired out,run out,stumped
GS Sandhu,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gagandeep Singh,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gurkeerat Singh,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HF Gurney,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
HH Pandya,7.0,49.0,7.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0
HR Shokeen,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HV Patel,17.0,107.0,2.0,0.0,9.0,0.0,0.0,0.0,16.0,0.0
Harbhajan Singh,29.0,83.0,11.0,1.0,8.0,0.0,0.0,0.0,11.0,18.0
Harmeet Singh,6.0,15.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0
Harpreet Brar,8.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
Harshit Rana,2.0,20.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
I Sharma,21.0,66.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0
I Udana,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC Pandey,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
IC Porel,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IK Pathan,22.0,49.0,3.0,0.0,6.0,0.0,0.0,0.0,19.0,0.0
IS Sodhi,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,16.0,51.0,5.0,0.0,7.0,0.0,0.0,0.0,4.0,3.0
Iqbal Abdulla,5.0,24.0,2.0,0.0,6.0,0.0,0.0,0.0,5.0,3.0
J Botha,7.0,7.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0
J Little,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
J Suchith,3.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
J Syed Mohammad,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
J Theron,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
J Yadav,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
JA Morkel,17.0,58.0,2.0,1.0,7.0,0.0,0.0,0.0,11.0,0.0
JA Richardson,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JC Archer,11.0,32.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
JD Ryder,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
JD Unadkat,15.0,77.0,6.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0
JDP Oram,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
JDS Neesham,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JE Taylor,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEC Franklin,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JH Kallis,18.0,40.0,1.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0
JJ Bumrah,39.0,108.0,4.0,0.0,17.0,0.0,0.0,0.0,14.0,0.0
JJ van der Wath,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JL Pattinson,1.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
JM Kemp,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JO Holder,6.0,45.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0
JP Behrendorff,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
JP Duminy,5.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
JP Faulkner,18.0,41.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0
JPR Scantlebury-Searles,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JR Hazlewood,1.0,31.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
JR Hopes,1.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JW Hastings,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaskaran Singh,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Joginder Sharma,3.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
K Gowtham,5.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
K Kartikeya,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
K Khejroliya,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
K Rabada,17.0,97.0,4.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0
K Santokie,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K Yadav,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KA Jamieson,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KA Maharaj,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KA Pollard,5.0,53.0,6.0,1.0,3.0,0.0,0.0,0.0,12.0,1.0
KC Cariappa,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
KH Pandya,11.0,45.0,5.0,1.0,8.0,0.0,0.0,0.0,4.0,6.0
KJ Abbott,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KK Ahmed,5.0,66.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0
KK Cooper,10.0,20.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
KL Nagarkoti,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KM Asif,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMA Paul,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KMDN Kulasekara,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KP Appanna,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
KP Pietersen,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
KR Sen,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KT Maphaka,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KV Sharma,10.0,51.0,3.0,0.0,6.0,0.0,1.0,0.0,5.0,6.0
KW Richardson,2.0,15.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Kamran Khan,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Karanveer Singh,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Kartik Tyagi,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kuldeep Yadav,9.0,51.0,7.0,0.0,9.0,0.0,0.0,0.0,3.0,11.0
L Ablish,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
L Balaji,19.0,54.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0
L Ngidi,4.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
L Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB Williams,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LE Plunkett,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LH Ferguson,10.0,36.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0
LI Meriwala,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LJ Wright,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LR Shukla,5.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
LS Livingstone,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lalit Yadav,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
M Ashwin,8.0,22.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
M Jansen,2.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
M Kartik,4.0,18.0,2.0,0.0,3.0,0.0,0.0,0.0,8.0,4.0
M Markande,9.0,18.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0
M Morkel,17.0,58.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0
M Muralitharan,13.0,35.0,1.0,0.0,9.0,0.0,0.0,0.0,3.0,6.0
M Ntini,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
M Pathirana,8.0,23.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0
M Prasidh Krishna,7.0,39.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0
M Siddharth,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Theekshana,8.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
M de Lange,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MA Khote,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA Starc,22.0,26.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0
MA Wood,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MC Henriques,5.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
MF Maharoof,5.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0
MG Bracewell,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MG Johnson,12.0,49.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
MJ Clarke,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MJ Henry,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MJ McClenaghan,9.0,58.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0
MJ Santner,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
MK Lomror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MK Tiwary,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Ali,8.0,18.0,2.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0
MM Patel,12.0,54.0,3.0,0.0,4.0,0.0,0.0,0.0,8.0,1.0
MM Sharma,22.0,102.0,4.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0
MN Samuels,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MP Stoinis,6.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
MP Yadav,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MR Marsh,2.0,33.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MS Gony,12.0,22.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Mashrafe Mortaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mayank Dagar,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mohammad Hafeez,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mohammad Nabi,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mohammed Shami,30.0,85.0,2.0,0.0,10.0,0.0,0.0,0.0,17.0,0.0
Mohammed Siraj,19.0,65.0,1.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0
Mohsin Khan,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mujeeb Ur Rahman,4.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Mukesh Choudhary,3.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Mukesh Kumar,5.0,16.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0
Mustafizur Rahman,11.0,47.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0
N Burger,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Rana,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
N Thushara,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
NB Singh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND Doshi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLTC Perera,6.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0
NM Coulter-Nile,8.0,34.0,2.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0
NT Ellis,3.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Navdeep Saini,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Naveen-ul-Haq,4.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Nithish Kumar Reddy,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Noor Ahmad,5.0,14.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
O Thomas,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OC McCoy,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF Smith,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
P Amarnath,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Awana,7.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
P Dubey,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Kumar,14.0,70.0,1.0,0.0,5.0,0.0,0.0,0.0,12.0,0.0
P Negi,5.0,22.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0
P Parameswaran,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
P Suyal,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC Valthaty,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PD Collingwood,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH Solanki,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Cummins,14.0,46.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0
PJ Sangwan,5.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0
PM Sarvesh Kumar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,50.0,95.0,7.0,0.0,21.0,0.0,0.0,0.0,9.0,19.0
PP Ojha,15.0,57.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,12.0
PV Tambe,3.0,14.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0
PVD Chameera,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
PWH de Silva,6.0,17.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0
Pankaj Singh,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parvez Rasool,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Ashwin,29.0,117.0,6.0,0.0,19.0,0.0,1.0,0.0,17.0,9.0
R Bhatia,19.0,44.0,2.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0
R Dhawan,5.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
R McLaren,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
R Ninan,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Parag,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
R Powell,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Rampaul,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
R Sai Kishore,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
R Sathish,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
R Sharma,8.0,20.0,2.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0
