bowler,runs,balls,matches,wickets,overs,economy,average,strike_rate
A Mishra,109,84,4,6.0,14.0,7.785714285714286,18.166666666666668,14.0
A Nortje,198,187,8,12.0,31.166666666666668,6.352941176470588,16.5,15.583333333333334
AD Russell,189,122,8,11.0,20.333333333333332,9.295081967213115,17.181818181818183,11.090909090909092
AF Milne,135,87,4,4.0,14.5,9.310344827586206,33.75,21.75
AK Markram,23,25,2,0.0,4.166666666666667,5.52,inf,inf
AR Patel,315,285,12,16.0,47.5,6.631578947368421,19.6875,17.8125
AU Rashid,35,18,1,0.0,3.0,11.666666666666666,inf,inf
Abdul Samad,9,6,1,1.0,1.0,9.0,9.0,6.0
Abhishek Sharma,66,63,6,4.0,10.5,6.285714285714286,16.5,15.75
Akash Singh,39,24,1,0.0,4.0,9.75,inf,inf
Arshdeep Singh,348,263,12,20.0,43.833333333333336,7.939163498098859,17.4,13.15
Avesh Khan,466,383,16,27.0,63.833333333333336,7.300261096605744,17.25925925925926,14.185185185185185
B Kumar,337,259,11,6.0,43.166666666666664,7.806949806949808,56.166666666666664,43.166666666666664
BA Stokes,12,6,1,0.0,1.0,12.0,inf,inf
C Sakariya,434,334,14,14.0,55.666666666666664,7.796407185628743,31.0,23.857142857142858
CH Morris,396,262,11,17.0,43.666666666666664,9.068702290076336,23.294117647058822,15.411764705882353
CJ Jordan,103,74,4,4.0,12.333333333333334,8.35135135135135,25.75,18.5
CR Woakes,85,67,3,5.0,11.166666666666666,7.611940298507463,17.0,13.4
CV Varun,456,416,17,20.0,69.33333333333333,6.5769230769230775,22.8,20.8
DJ Bravo,264,221,11,15.0,36.833333333333336,7.167420814479637,17.6,14.733333333333333
DJ Hooda,136,96,7,2.0,16.0,8.5,68.0,48.0
DL Chahar,453,339,15,16.0,56.5,8.017699115044248,28.3125,21.1875
DR Sams,39,38,2,1.0,6.333333333333333,6.157894736842105,39.0,38.0
DS Kulkarni,48,26,1,0.0,4.333333333333333,11.076923076923078,inf,inf
DT Christian,156,104,9,4.0,17.333333333333332,9.0,39.0,26.0
FA Allen,90,67,3,1.0,11.166666666666666,8.059701492537314,90.0,67.0
GD Phillips,20,13,2,1.0,2.1666666666666665,9.230769230769232,20.0,13.0
GHS Garton,136,97,5,3.0,16.166666666666668,8.412371134020617,45.333333333333336,32.333333333333336
GJ Maxwell,135,99,6,3.0,16.5,8.181818181818182,45.0,33.0
HV Patel,461,361,15,35.0,60.166666666666664,7.662049861495845,13.17142857142857,10.314285714285715
Harbhajan Singh,63,45,3,0.0,7.5,8.4,inf,inf
Harpreet Brar,142,141,7,5.0,23.5,6.042553191489362,28.4,28.2
I Sharma,98,72,3,1.0,12.0,8.166666666666666,98.0,72.0
IC Porel,42,26,1,1.0,4.333333333333333,9.692307692307693,42.0,26.0
