batter,runs,balls,matches,dismissals,average,strike_rate,sixes,fours,highest_score
A Kumble,6,12,5,0.0,6.0,50.0,0.0,0.0,2
A Mishra,39,54,7,4.0,9.75,72.22222222222221,0.0,1.0,12
A Mithun,5,4,1,1.0,5.0,125.0,0.0,1.0,5
A Nehra,23,20,2,1.0,23.0,114.99999999999999,1.0,2.0,22
A Symonds,429,356,16,13.0,33.0,120.50561797752808,18.0,35.0,54
A Uniyal,4,7,2,1.0,4.0,57.14285714285714,0.0,0.0,4
AA Bilakhia,2,4,1,1.0,2.0,50.0,0.0,0.0,2
AA Jhunjhunwala,183,172,10,10.0,18.3,106.3953488372093,4.0,16.0,53
AB Agarkar,40,30,4,1.0,40.0,133.33333333333331,0.0,4.0,17
AB Barath,42,43,3,2.0,21.0,97.67441860465115,1.0,5.0,33
AB Dinda,0,1,1,1.0,0.0,0.0,0.0,0.0,0
AB McDonald,65,54,3,0.0,65.0,120.37037037037037,2.0,3.0,33
AB de Villiers,111,123,7,7.0,15.857142857142858,90.2439024390244,0.0,7.0,45
AC Gilchrist,289,200,16,17.0,17.0,144.5,16.0,31.0,54
AC Voges,181,143,7,6.0,30.166666666666668,126.57342657342659,3.0,15.0,45
AD Mascarenhas,12,11,2,2.0,6.0,109.09090909090908,0.0,0.0,9
AD Mathews,233,197,10,6.0,38.833333333333336,118.27411167512692,8.0,18.0,65
AG Paunikar,0,1,1,1.0,0.0,0.0,0.0,0.0,0
AJ Finch,21,21,1,1.0,21.0,100.0,1.0,0.0,21
AM Nayar,58,51,3,2.0,29.0,113.72549019607843,2.0,4.0,27
AN Ahmed,4,8,1,0.0,4.0,50.0,0.0,0.0,4
AP Dole,34,23,2,2.0,17.0,147.82608695652172,1.0,3.0,30
AP Tare,50,41,4,4.0,12.5,121.95121951219512,3.0,5.0,23
AS Raut,56,48,5,2.0,28.0,116.66666666666667,3.0,3.0,32
AT Rayudu,356,258,14,12.0,29.666666666666668,137.984496124031,13.0,34.0,55
Anirudh Singh,63,69,4,4.0,15.75,91.30434782608695,1.0,6.0,40
B Lee,11,11,3,1.0,11.0,100.0,0.0,1.0,7
B Sumanth,35,38,4,1.0,35.0,92.10526315789474,0.0,3.0,16
BAW Mendis,1,1,1,0.0,1.0,100.0,0.0,0.0,1
BB McCullum,114,117,5,3.0,38.0,97.43589743589743,2.0,14.0,57
BJ Hodge,99,95,4,4.0,24.75,104.21052631578947,1.0,11.0,50
Bipul Sharma,9,7,2,0.0,9.0,128.57142857142858,0.0,1.0,8
C Madan,15,21,1,1.0,15.0,71.42857142857143,0.0,3.0,15
CA Pujara,122,119,6,4.0,30.5,102.52100840336134,3.0,14.0,45
CH Gayle,292,197,9,9.0,32.44444444444444,148.2233502538071,16.0,30.0,88
CK Langeveldt,0,1,1,1.0,0.0,0.0,0.0,0.0,0
CL White,48,33,5,2.0,24.0,145.45454545454547,3.0,3.0,21
CRD Fernando,2,2,1,0.0,2.0,100.0,0.0,0.0,2
DA Warner,282,195,11,10.0,28.2,144.6153846153846,14.0,27.0,107
DE Bollinger,18,17,2,0.0,18.0,105.88235294117648,1.0,1.0,16
DJ Bravo,61,53,8,7.0,8.714285714285714,115.09433962264151,4.0,3.0,23
DJ Hussey,94,89,6,4.0,23.5,105.61797752808988,5.0,5.0,31
DL Vettori,33,28,3,1.0,33.0,117.85714285714286,0.0,4.0,19
DP Nannes,4,13,2,1.0,4.0,30.76923076923077,0.0,0.0,3
DPMD Jayawardene,445,312,13,12.0,37.083333333333336,142.62820512820514,12.0,55.0,110
DR Martyn,19,26,1,2.0,9.5,73.07692307692307,0.0,1.0,19
DR Smith,22,25,3,2.0,11.0,88.0,1.0,1.0,13
DW Steyn,13,17,4,4.0,3.25,76.47058823529412,0.0,2.0,8
EJG Morgan,35,31,4,3.0,11.666666666666666,112.90322580645163,1.0,2.0,17
FY Fazal,164,160,9,8.0,20.5,102.49999999999999,1.0,19.0,45
G Gambhir,277,223,10,10.0,27.7,124.2152466367713,2.0,32.0,72
GC Smith,44,40,2,3.0,14.666666666666666,110.00000000000001,0.0,7.0,26
GJ Bailey,18,27,1,2.0,9.0,66.66666666666666,0.0,2.0,18
HH Gibbs,267,243,10,10.0,26.7,109.87654320987654,9.0,26.0,50
Harbhajan Singh,105,64,7,6.0,17.5,164.0625,5.0,12.0,49
Harmeet Singh,0,1,1,1.0,0.0,0.0,0.0,0.0,0
I Sharma,6,17,2,2.0,3.0,35.294117647058826,0.0,0.0,6
IK Pathan,276,188,13,8.0,34.5,146.80851063829786,10.0,21.0,60
Iqbal Abdulla,0,1,1,0.0,0.0,0.0,0.0,0.0,0
J Theron,2,6,2,2.0,1.0,33.33333333333333,0.0,0.0,2
JA Morkel,199,135,11,7.0,28.428571428571427,147.40740740740742,13.0,10.0,62
JH Kallis,572,517,16,12.0,47.666666666666664,110.63829787234043,9.0,67.0,89
JM Kemp,26,25,2,2.0,13.0,104.0,1.0,1.0,22
JP Duminy,157,134,7,4.0,39.25,117.16417910447761,5.0,13.0,42
Jaskaran Singh,8,11,4,2.0,4.0,72.72727272727273,0.0,0.0,4
K Goel,18,20,2,1.0,18.0,90.0,1.0,1.0,17
KA Pollard,273,152,14,14.0,19.5,179.60526315789474,17.0,23.0,45
KAJ Roach,10,9,1,1.0,10.0,111.11111111111111,0.0,1.0,10
KB Arun Karthik,3,5,1,0.0,3.0,60.0,0.0,0.0,3
KC Sangakkara,357,260,12,12.0,29.75,137.30769230769232,5.0,47.0,56
KD Karthik,278,242,14,12.0,23.166666666666668,114.87603305785123,6.0,26.0,69
KM Jadhav,76,60,5,4.0,19.0,126.66666666666666,2.0,7.0,50
KP Appanna,2,3,2,1.0,2.0,66.66666666666666,0.0,0.0,1
KP Pietersen,236,159,7,4.0,59.0,148.42767295597483,8.0,23.0,66
L Balaji,18,20,3,2.0,9.0,90.0,1.0,1.0,15
LR Shukla,36,27,2,2.0,18.0,133.33333333333331,2.0,3.0,19
LRPL Taylor,88,77,7,4.0,22.0,114.28571428571428,6.0,2.0,31
M Kaif,28,31,3,3.0,9.333333333333334,90.32258064516128,0.0,2.0,14
M Kartik,22,22,2,1.0,22.0,100.0,0.0,2.0,21
M Manhas,157,151,8,4.0,39.25,103.97350993377484,0.0,14.0,32
M Morkel,9,16,2,2.0,4.5,56.25,0.0,1.0,7
M Muralitharan,1,2,1,1.0,1.0,50.0,0.0,0.0,1
M Vijay,458,305,15,12.0,38.166666666666664,150.1639344262295,26.0,36.0,127
MC Henriques,11,5,1,1.0,11.0,220.00000000000003,0.0,2.0,11
MD Mishra,166,149,11,10.0,16.6,111.40939597315436,6.0,18.0,41
MEK Hussey,37,44,3,2.0,18.5,84.0909090909091,0.0,2.0,15
MF Maharoof,31,24,4,3.0,10.333333333333334,129.16666666666669,2.0,2.0,28
MJ Lumb,278,196,11,9.0,30.88888888888889,141.83673469387753,6.0,45.0,83
MK Pandey,249,233,13,11.0,22.636363636363637,106.86695278969958,7.0,27.0,42
MK Tiwary,237,192,11,10.0,23.7,123.4375,5.0,23.0,75
ML Hayden,346,295,16,16.0,21.625,117.28813559322033,16.0,37.0,93
MM Patel,4,5,2,0.0,4.0,80.0,0.0,0.0,4
MR Marsh,28,31,2,2.0,14.0,90.32258064516128,1.0,1.0,15
MS Bisla,218,189,10,9.0,24.22222222222222,115.34391534391534,6.0,27.0,75
