type,description,winner,margin
Highest Scoring Match,LSG vs PBKS,LSG,458 runs total
Closest Run Victory,LSG vs KKR,LSG,1 runs
Closest Wicket Victory,RCB vs LSG,LSG,1 wickets
Most Sixes in a Match,CSK vs RCB,CSK,33 sixes
