type,description,winner,margin
Highest Scoring Match,CSK vs KKR,KKR,377 runs total
Closest Run Victory,SRH vs KXIP,KXIP,1 runs
Closest Wicket Victory,RCB vs CSK,RCB,2 wickets
Most Sixes in a Match,CSK vs KXIP,CSK,17 sixes
