season,no result,runs,wickets
2008,0,24,34
2009,1,27,29
2010,1,31,28
2011,1,33,39
2012,0,34,40
2013,2,37,37
2014,1,22,37
2015,3,32,24
2016,0,21,39
2017,1,26,32
2018,0,28,32
2019,3,22,35
2020,4,27,29
2021,1,22,37
2022,0,37,37
2023,1,40,33
2024,0,35,36
