,runs,wickets,batting_sr,bowling_economy
RA Jadeja,227.0,13.0,133.52941176470588,6.94
AD Russell,183.0,11.0,144.09448818897638,9.295081967213115
R Tewatia,155.0,8.0,101.9736842105263,8.960698689956333
KA Pollard,245.0,6.0,136.11111111111111,6.705882352941177
KH Pandya,143.0,5.0,113.4920634920635,7.628571428571429
MM Ali,357.0,7.0,132.22222222222223,6.35064935064935
