type,description,winner,margin
Highest Scoring Match,CSK vs RR,CSK,469 runs total
Closest Run Victory,SRH vs RR,RR,2 runs
Closest Wicket Victory,MI vs KXIP,MI,4 wickets
Most Sixes in a Match,CSK vs RR,CSK,30 sixes
