bowler,runs,balls,matches,wickets,overs,economy,average,strike_rate
A Badoni,0,1,1,0.0,0.16666666666666666,0.0,inf,inf
A Mishra,151,115,7,7.0,19.166666666666668,7.878260869565217,21.571428571428573,16.428571428571427
A Nortje,370,251,10,11.0,41.833333333333336,8.844621513944222,33.63636363636363,22.818181818181817
A Zampa,189,133,6,9.0,22.166666666666668,8.526315789473683,21.0,14.777777777777779
AD Russell,173,99,9,7.0,16.5,10.484848484848484,24.714285714285715,14.142857142857142
AJ Hosein,41,24,1,1.0,4.0,10.25,41.0,24.0
AK Markram,71,49,6,1.0,8.166666666666666,8.693877551020408,71.0,49.0
AR Patel,344,288,13,11.0,48.0,7.166666666666667,31.272727272727273,26.181818181818183
AS Joseph,226,150,7,7.0,25.0,9.04,32.285714285714285,21.428571428571427
AS Roy,65,51,3,3.0,8.5,7.647058823529412,21.666666666666668,17.0
AU Rashid,56,42,2,2.0,7.0,8.0,28.0,21.0
Abhishek Sharma,127,75,5,2.0,12.5,10.16,63.5,37.5
Akash Deep,63,33,2,1.0,5.5,11.454545454545455,63.0,33.0
Akash Madhwal,222,160,8,16.0,26.666666666666668,8.325,13.875,10.0
Akash Singh,188,117,6,5.0,19.5,9.64102564102564,37.6,23.4
Arjun Tendulkar,95,68,4,4.0,11.333333333333334,8.382352941176471,23.75,17.0
Arshad Khan,192,97,6,5.0,16.166666666666668,11.876288659793813,38.4,19.4
Arshdeep Singh,497,324,14,18.0,54.0,9.203703703703704,27.61111111111111,18.0
Avesh Khan,287,176,9,8.0,29.333333333333332,9.78409090909091,35.875,22.0
B Kumar,432,319,14,19.0,53.166666666666664,8.12539184952978,22.736842105263158,16.789473684210527
BA Stokes,18,6,1,0.0,1.0,18.0,inf,inf
C Green,370,239,16,8.0,39.833333333333336,9.288702928870292,46.25,29.875
C Sakariya,89,55,2,3.0,9.166666666666666,9.709090909090909,29.666666666666668,18.333333333333332
CJ Jordan,241,140,6,3.0,23.333333333333332,10.32857142857143,80.33333333333333,46.666666666666664
CV Varun,445,323,14,20.0,53.833333333333336,8.26625386996904,22.25,16.15
D Jansen,53,28,1,1.0,4.666666666666667,11.357142857142856,53.0,28.0
D Pretorius,29,28,1,0.0,4.666666666666667,6.2142857142857135,inf,inf
D Wiese,38,18,1,0.0,3.0,12.666666666666666,inf,inf
DG Nalkande,45,25,1,1.0,4.166666666666667,10.799999999999999,45.0,25.0
DJ Hooda,8,6,1,0.0,1.0,8.0,inf,inf
DJ Willey,106,94,4,4.0,15.666666666666666,6.765957446808511,26.5,23.5
DL Chahar,302,215,10,13.0,35.833333333333336,8.427906976744186,23.23076923076923,16.53846153846154
Fazalhaq Farooqi,119,86,4,4.0,14.333333333333334,8.30232558139535,29.75,21.5
GD Phillips,20,18,2,1.0,3.0,6.666666666666667,20.0,18.0
GJ Maxwell,95,64,7,3.0,10.666666666666666,8.90625,31.666666666666668,21.333333333333332
Gurnoor Brar,42,21,1,0.0,3.5,12.0,inf,inf
H Sharma,33,18,1,0.0,3.0,11.0,inf,inf
HH Pandya,241,156,11,4.0,26.0,9.26923076923077,60.25,39.0
HR Shokeen,190,119,8,3.0,19.833333333333332,9.579831932773109,63.333333333333336,39.666666666666664
HV Patel,468,302,13,15.0,50.333333333333336,9.298013245033113,31.2,20.133333333333333
Harpreet Brar,219,166,11,9.0,27.666666666666668,7.9156626506024095,24.333333333333332,18.444444444444443
Harshit Rana,153,108,6,6.0,18.0,8.5,25.5,18.0
I Sharma,210,157,8,10.0,26.166666666666668,8.025477707006369,21.0,15.7
J Little,296,211,10,9.0,35.166666666666664,8.417061611374407,32.888888888888886,23.444444444444443
J Yadav,26,24,1,0.0,4.0,6.5,inf,inf
JC Archer,202,129,5,2.0,21.5,9.395348837209303,101.0,64.5
JD Unadkat,92,52,3,1.0,8.666666666666666,10.615384615384617,92.0,52.0
JE Root,15,12,1,0.0,2.0,7.5,inf,inf
JO Holder,290,176,8,4.0,29.333333333333332,9.886363636363637,72.5,44.0
JP Behrendorff,395,262,12,17.0,43.666666666666664,9.045801526717558,23.235294117647058,15.411764705882353
JR Hazlewood,76,57,3,3.0,9.5,8.0,25.333333333333332,19.0
K Gowtham,118,100,6,3.0,16.666666666666668,7.079999999999999,39.333333333333336,33.333333333333336
K Kartikeya,231,163,8,5.0,27.166666666666668,8.503067484662576,46.2,32.6
K Khejroliya,64,28,2,2.0,4.666666666666667,13.714285714285714,32.0,14.0
K Rabada,243,147,6,7.0,24.5,9.918367346938776,34.714285714285715,21.0
K Yadav,68,42,2,2.0,7.0,9.714285714285714,34.0,21.0
KH Pandya,320,253,12,9.0,42.166666666666664,7.588932806324111,35.55555555555556,28.11111111111111
KK Ahmed,309,212,9,10.0,35.333333333333336,8.745283018867925,30.9,21.2
KM Asif,139,91,4,3.0,15.166666666666666,9.164835164835166,46.333333333333336,30.333333333333332
KR Mayers,59,46,6,0.0,7.666666666666667,7.695652173913043,inf,inf
KR Sen,29,19,2,0.0,3.1666666666666665,9.157894736842106,inf,inf
KV Sharma,229,132,7,11.0,22.0,10.409090909090908,20.818181818181817,12.0
Kartik Tyagi,92,44,3,1.0,7.333333333333333,12.545454545454547,92.0,44.0
Kuldeep Yadav,366,300,14,10.0,50.0,7.32,36.6,30.0
LH Ferguson,98,50,3,1.0,8.333333333333334,11.76,98.0,50.0
LS Livingstone,94,42,5,2.0,7.0,13.428571428571429,47.0,21.0
Lalit Yadav,120,82,4,3.0,13.666666666666666,8.78048780487805,40.0,27.333333333333332
M Ashwin,53,25,2,0.0,4.166666666666667,12.719999999999999,inf,inf
M Jansen,273,178,8,10.0,29.666666666666668,9.202247191011235,27.3,17.8
M Markande,300,230,10,12.0,38.333333333333336,7.826086956521738,25.0,19.166666666666668
M Pathirana,386,310,12,23.0,51.666666666666664,7.4709677419354845,16.782608695652176,13.478260869565217
M Theekshana,401,298,13,11.0,49.666666666666664,8.073825503355705,36.45454545454545,27.09090909090909
MA Wood,142,102,4,11.0,17.0,8.352941176470589,12.909090909090908,9.272727272727273
MG Bracewell,95,66,5,6.0,11.0,8.636363636363637,15.833333333333334,11.0
MJ Santner,82,72,3,3.0,12.0,6.833333333333333,27.333333333333332,24.0
MK Lomror,17,12,2,1.0,2.0,8.5,17.0,12.0
MM Ali,198,157,11,9.0,26.166666666666668,7.56687898089172,22.0,17.444444444444443
MM Sharma,362,268,14,31.0,44.666666666666664,8.104477611940299,11.67741935483871,8.64516129032258
MP Stoinis,101,69,5,5.0,11.5,8.782608695652174,20.2,13.8
MR Marsh,172,132,8,12.0,22.0,7.818181818181818,14.333333333333334,11.0
MW Short,25,25,3,0.0,4.166666666666667,6.0,inf,inf
Mayank Dagar,83,66,3,1.0,11.0,7.545454545454546,83.0,66.0
Mohammed Shami,532,403,17,28.0,67.16666666666667,7.9205955334987586,19.0,14.392857142857142
Mohammed Siraj,395,329,14,20.0,54.833333333333336,7.203647416413373,19.75,16.45
Mohit Rathee,29,12,1,0.0,2.0,14.5,inf,inf
Mohsin Khan,111,64,4,3.0,10.666666666666666,10.40625,37.0,21.333333333333332
Mukesh Kumar,328,197,10,9.0,32.833333333333336,9.98984771573604,36.44444444444444,21.88888888888889
Mustafizur Rahman,79,42,2,1.0,7.0,11.285714285714286,79.0,42.0
N Rana,75,54,6,3.0,9.0,8.333333333333334,25.0,18.0
NA Saini,35,15,1,0.0,2.5,14.0,inf,inf
NT Ellis,342,233,10,13.0,38.833333333333336,8.806866952789699,26.307692307692307,17.923076923076923
Navdeep Saini,40,25,1,3.0,4.166666666666667,9.6,13.333333333333334,8.333333333333334
Naveen-ul-Haq,227,175,7,11.0,29.166666666666668,7.782857142857143,20.636363636363637,15.909090909090908
Nithish Kumar Reddy,54,31,2,0.0,5.166666666666667,10.451612903225806,inf,inf
Noor Ahmad,375,299,13,16.0,49.833333333333336,7.525083612040134,23.4375,18.6875
OC McCoy,13,7,1,0.0,1.1666666666666667,11.142857142857142,inf,inf
P Dubey,19,19,1,1.0,3.1666666666666665,6.0,19.0,19.0
PP Chawla,499,371,16,23.0,61.833333333333336,8.070080862533693,21.695652173913043,16.130434782608695
PWH de Silva,259,175,8,9.0,29.166666666666668,8.879999999999999,28.77777777777778,19.444444444444443
R Ashwin,370,309,13,15.0,51.5,7.184466019417476,24.666666666666668,20.6
R Dhawan,64,42,4,1.0,7.0,9.142857142857142,64.0,42.0
R Goyal,34,24,1,0.0,4.0,8.5,inf,inf
R Powell,18,14,1,1.0,2.3333333333333335,7.7142857142857135,18.0,14.0
R Tewatia,15,14,2,0.0,2.3333333333333335,6.428571428571428,inf,inf
RA Jadeja,432,348,16,20.0,58.0,7.448275862068965,21.6,17.4
RD Chahar,388,301,14,8.0,50.166666666666664,7.73421926910299,48.5,37.625
RJW Topley,14,12,1,1.0,2.0,7.0,14.0,12.0
RP Meredith,209,126,5,7.0,21.0,9.952380952380953,29.857142857142858,18.0
RS Hangargekar,60,43,2,3.0,7.166666666666667,8.372093023255813,20.0,14.333333333333334
Rashid Khan,557,407,17,28.0,67.83333333333333,8.211302211302211,19.892857142857142,14.535714285714286
Ravi Bishnoi,394,312,14,17.0,52.0,7.576923076923077,23.176470588235293,18.352941176470587
SM Curran,497,299,14,11.0,49.833333333333336,9.97324414715719,45.18181818181818,27.181818181818183
SN Thakur,222,132,9,7.0,22.0,10.090909090909092,31.714285714285715,18.857142857142858
SP Narine,389,296,14,11.0,49.333333333333336,7.885135135135135,35.36363636363637,26.90909090909091
SSB Magala,52,37,2,1.0,6.166666666666667,8.432432432432432,52.0,37.0
Sandeep Sharma,398,290,12,15.0,48.333333333333336,8.23448275862069,26.533333333333335,19.333333333333332
Shahbaz Ahmed,95,42,5,1.0,7.0,13.571428571428571,95.0,42.0
Sikandar Raza,124,76,6,3.0,12.666666666666666,9.789473684210527,41.333333333333336,25.333333333333332
Suyash Sharma,330,239,11,11.0,39.833333333333336,8.284518828451882,30.0,21.727272727272727
Swapnil Singh,18,12,2,0.0,2.0,9.0,inf,inf
T Natarajan,416,276,12,13.0,46.0,9.043478260869565,32.0,21.23076923076923
T Stubbs,14,12,1,1.0,2.0,7.0,14.0,12.0
TA Boult,316,235,10,13.0,39.166666666666664,8.068085106382979,24.307692307692307,18.076923076923077
TG Southee,79,36,2,2.0,6.0,13.166666666666666,39.5,18.0
TU Deshpande,580,368,16,24.0,61.333333333333336,9.456521739130434,24.166666666666668,15.333333333333334
Tilak Varma,7,7,1,0.0,1.1666666666666667,6.0,inf,inf
UT Yadav,190,116,8,1.0,19.333333333333332,9.827586206896552,190.0,116.0
Umran Malik,219,124,8,6.0,20.666666666666668,10.596774193548386,36.5,20.666666666666668
VG Arora,149,107,5,5.0,17.833333333333332,8.355140186915888,29.8,21.4
Vijaykumar Vyshak,253,153,7,11.0,25.5,9.92156862745098,23.0,13.909090909090908
Vivrant Sharma,37,21,2,0.0,3.5,10.571428571428571,inf,inf
WD Parnell,237,157,7,9.0,26.166666666666668,9.05732484076433,26.333333333333332,17.444444444444443
Washington Sundar,146,106,7,3.0,17.666666666666668,8.264150943396226,48.666666666666664,35.333333333333336
YS Chahal,434,326,14,22.0,54.333333333333336,7.987730061349693,19.727272727272727,14.818181818181818
Yash Dayal,165,88,5,2.0,14.666666666666666,11.25,82.5,44.0
Yash Thakur,297,207,9,15.0,34.5,8.608695652173912,19.8,13.8
Yudhvir Singh,73,50,3,3.0,8.333333333333334,8.76,24.333333333333332,16.666666666666668
