,matches,wins,losses,points,nrr,runs,wickets
DD,15,10,5,20,0.0,0,0
RCB,16,9,7,18,0.0,0,0
SRH,16,9,7,18,0.0,0,0
CSK,14,8,6,16,0.0,0,0
KXIP,14,7,7,14,0.0,0,0
MI,13,5,8,10,0.0,0,0
RR,13,5,7,10,0.0,0,0
KKR,13,3,9,6,0.0,0,0
