,matches,wins,losses,points,nrr,runs,wickets
CSK,16,11,5,22,0.0,0,0
SRH,17,10,7,20,0.0,0,0
KKR,16,9,7,18,0.0,0,0
RR,15,7,8,14,0.0,0,0
MI,14,6,8,12,0.0,0,0
RCB,14,6,8,12,0.0,0,0
KXIP,14,6,8,12,0.0,0,0
DD,14,5,9,10,0.0,0,0
