type,description,winner,margin
Highest Scoring Match,DD vs KXIP,DD,433 runs total
Closest Run Victory,CSK vs KKR,CSK,2 runs
Closest Wicket Victory,PW vs DD,DD,3 wickets
Most Sixes in a Match,DD vs KXIP,DD,23 sixes
