type,description,winner,margin
Highest Scoring Match,MI vs KXIP,KXIP,453 runs total
Closest Run Victory,MI vs RPS,MI,1 runs
Closest Wicket Victory,GL vs DD,DD,2 wickets
Most Sixes in a Match,DD vs GL,DD,31 sixes
