bowler,runs,balls,matches,wickets,overs,economy,average,strike_rate
A Flintoff,106,66,3,2.0,11.0,9.636363636363637,53.0,33.0
A Kumble,353,358,16,22.0,59.666666666666664,5.916201117318436,16.045454545454547,16.272727272727273
A Mishra,300,262,11,14.0,43.666666666666664,6.870229007633588,21.428571428571427,18.714285714285715
A Mithun,42,27,1,0.0,4.5,9.333333333333334,inf,inf
A Nehra,354,326,13,22.0,54.333333333333336,6.515337423312883,16.09090909090909,14.818181818181818
A Singh,100,107,5,9.0,17.833333333333332,5.607476635514019,11.11111111111111,11.88888888888889
A Symonds,162,147,8,9.0,24.5,6.612244897959184,18.0,16.333333333333332
AB Agarkar,293,199,11,8.0,33.166666666666664,8.834170854271358,36.625,24.875
AB Dinda,195,150,8,6.0,25.0,7.8,32.5,25.0
AB McDonald,22,18,1,0.0,3.0,7.333333333333333,inf,inf
AD Mascarenhas,133,116,5,6.0,19.333333333333332,6.879310344827586,22.166666666666668,19.333333333333332
AD Mathews,32,15,1,0.0,2.5,12.8,inf,inf
AM Nayar,84,77,4,4.0,12.833333333333334,6.545454545454545,21.0,19.25
AM Rahane,5,6,1,1.0,1.0,5.0,5.0,6.0
AM Salvi,138,106,5,4.0,17.666666666666668,7.811320754716981,34.5,26.5
AS Raut,37,24,4,0.0,4.0,9.25,inf,inf
Anureet Singh,47,34,2,2.0,5.666666666666667,8.294117647058822,23.5,17.0
B Akhil,80,69,5,4.0,11.5,6.956521739130435,20.0,17.25
B Lee,113,133,5,6.0,22.166666666666668,5.097744360902255,18.833333333333332,22.166666666666668
BAW Mendis,136,102,4,4.0,17.0,8.0,34.0,25.5
BJ Hodge,167,123,9,7.0,20.5,8.146341463414634,23.857142857142858,17.571428571428573
C Nanda,58,50,3,2.0,8.333333333333334,6.959999999999999,29.0,25.0
CH Gayle,146,119,7,1.0,19.833333333333332,7.3613445378151265,146.0,119.0
CK Langeveldt,15,25,1,3.0,4.166666666666667,3.5999999999999996,5.0,8.333333333333334
D du Preez,56,43,2,4.0,7.166666666666667,7.813953488372093,14.0,10.75
DJ Bravo,265,211,11,14.0,35.166666666666664,7.535545023696683,18.928571428571427,15.071428571428571
DJ Hussey,34,25,3,1.0,4.166666666666667,8.16,34.0,25.0
DL Vettori,186,141,7,10.0,23.5,7.914893617021277,18.6,14.1
DP Nannes,384,320,13,20.0,53.333333333333336,7.199999999999999,19.2,16.0
DR Smith,128,85,8,1.0,14.166666666666666,9.035294117647059,128.0,85.0
DS Kulkarni,209,160,8,5.0,26.666666666666668,7.8374999999999995,41.8,32.0
DW Steyn,62,59,3,3.0,9.833333333333334,6.305084745762711,20.666666666666668,19.666666666666668
FH Edwards,160,150,6,6.0,25.0,6.4,26.666666666666668,25.0
GR Napier,28,24,1,1.0,4.0,7.0,28.0,24.0
Harbhajan Singh,272,268,13,13.0,44.666666666666664,6.089552238805971,20.923076923076923,20.615384615384617
Harmeet Singh,198,142,7,4.0,23.666666666666668,8.366197183098592,49.5,35.5
I Sharma,303,270,11,11.0,45.0,6.733333333333333,27.545454545454547,24.545454545454547
IK Pathan,398,314,14,20.0,52.333333333333336,7.6050955414012735,19.9,15.7
J Botha,76,75,3,5.0,12.5,6.08,15.2,15.0
JA Morkel,330,249,12,15.0,41.5,7.951807228915663,22.0,16.6
JD Ryder,121,104,5,5.0,17.333333333333332,6.980769230769231,24.2,20.8
JDP Oram,139,94,7,6.0,15.666666666666666,8.872340425531915,23.166666666666668,15.666666666666666
JH Kallis,362,289,14,7.0,48.166666666666664,7.515570934256056,51.714285714285715,41.285714285714285
JP Duminy,96,107,6,4.0,17.833333333333332,5.3831775700934585,24.0,26.75
Jaskaran Singh,32,19,1,0.0,3.1666666666666665,10.105263157894738,inf,inf
Joginder Sharma,57,43,4,2.0,7.166666666666667,7.953488372093023,28.5,21.5
K Goel,62,49,4,0.0,8.166666666666666,7.591836734693878,inf,inf
KP Appanna,91,72,5,2.0,12.0,7.583333333333333,45.5,36.0
KP Pietersen,88,80,4,5.0,13.333333333333334,6.6,17.6,16.0
Kamran Khan,148,121,5,10.0,20.166666666666668,7.338842975206611,14.8,12.1
L Balaji,320,229,13,14.0,38.166666666666664,8.384279475982533,22.857142857142858,16.357142857142858
LA Carseldine,6,7,1,1.0,1.1666666666666667,5.142857142857142,6.0,7.0
LR Shukla,102,88,5,5.0,14.666666666666666,6.954545454545455,20.4,17.6
LRPL Taylor,13,7,1,0.0,1.1666666666666667,11.142857142857142,inf,inf
M Kartik,207,210,10,5.0,35.0,5.914285714285715,41.4,42.0
M Morkel,40,44,2,1.0,7.333333333333333,5.454545454545455,40.0,44.0
M Muralitharan,267,304,13,16.0,50.666666666666664,5.269736842105264,16.6875,19.0
