,runs,wickets,batting_sr,bowling_economy
JR Hopes,221.0,7.0,145.39473684210526,10.0
SC Ganguly,349.0,7.0,107.71604938271604,6.545454545454545
DJ Bravo,178.0,11.0,129.92700729927006,7.922651933701657
P Kumar,112.0,12.0,112.00000000000001,8.203636363636363
SR Watson,472.0,20.0,146.58385093167703,6.88953488372093
YK Pathan,435.0,10.0,171.93675889328063,8.223529411764707
JA Morkel,241.0,20.0,143.45238095238096,8.012903225806452
ST Jayasuriya,514.0,5.0,154.35435435435437,7.700787401574803
LR Shukla,163.0,6.0,128.3464566929134,9.692307692307692
SM Pollock,147.0,13.0,126.72413793103448,6.578571428571429
IK Pathan,131.0,20.0,109.16666666666666,6.446428571428571
MF Maharoof,125.0,19.0,158.22784810126583,6.769911504424779
