,runs,wickets,batting_sr,bowling_economy
RA Jadeja,267.0,8.0,139.79057591623035,7.810526315789474
AD Russell,222.0,19.0,157.4468085106383,9.702127659574469
HH Pandya,216.0,13.0,140.25974025974025,10.327433628318584
MP Stoinis,388.0,5.0,142.64705882352942,8.758620689655173
SM Curran,270.0,16.0,117.3913043478261,9.968503937007874
AR Patel,235.0,11.0,128.4153005464481,7.69811320754717
C Green,255.0,12.0,137.83783783783784,8.20627802690583
KH Pandya,133.0,6.0,118.75,7.551219512195122
Shahbaz Ahmed,215.0,7.0,124.27745664739885,10.012048192771084
SP Narine,488.0,18.0,167.12328767123287,6.754491017964072
Rashid Khan,102.0,10.0,136.0,8.51908396946565
PJ Cummins,136.0,18.0,137.37373737373736,9.136
