,runs,wickets,batting_sr,bowling_economy
SN Thakur,113.0,7.0,156.94444444444443,10.090909090909092
RA Jadeja,190.0,20.0,137.68115942028984,7.448275862068965
AD Russell,227.0,7.0,140.12345679012347,10.484848484848484
MP Stoinis,408.0,5.0,145.19572953736656,8.782608695652174
SM Curran,276.0,11.0,129.5774647887324,9.97324414715719
MR Marsh,128.0,12.0,131.95876288659792,7.818181818181818
AR Patel,283.0,11.0,131.0185185185185,7.166666666666667
C Green,452.0,8.0,157.49128919860627,9.288702928870292
KH Pandya,188.0,9.0,109.30232558139534,7.588932806324111
MM Ali,124.0,9.0,134.7826086956522,7.56687898089172
Rashid Khan,130.0,28.0,196.96969696969697,8.211302211302211
