,runs,wickets,batting_sr,bowling_economy
RA Jadeja,232.0,6.0,163.38028169014086,8.633484162895927
AD Russell,117.0,7.0,142.6829268292683,9.368421052631579
R Tewatia,255.0,11.0,136.36363636363635,6.860139860139861
JC Archer,113.0,20.0,171.21212121212122,6.48695652173913
MP Stoinis,352.0,13.0,140.79999999999998,9.358695652173912
SM Curran,186.0,14.0,128.2758620689655,7.879245283018868
AR Patel,117.0,11.0,130.0,6.409090909090909
KH Pandya,109.0,6.0,118.4782608695652,7.371428571428571
S Dube,129.0,5.0,118.34862385321101,8.181818181818182
SP Narine,121.0,6.0,131.52173913043478,8.034782608695652
PJ Cummins,146.0,12.0,121.66666666666666,7.925233644859813
Washington Sundar,111.0,9.0,113.26530612244898,5.960264900662251
