,matches,wins,losses,points,nrr,runs,wickets
CSK,17,10,7,20,0.0,0,0
MI,16,10,6,20,0.0,0,0
RCB,16,8,6,16,0.0,0,0
KKR,13,7,6,14,0.0,0,0
RR,14,7,5,14,0.0,0,0
SRH,14,7,7,14,0.0,0,0
DD,14,5,8,10,0.0,0,0
KXIP,14,2,11,4,0.0,0,0
