batter,runs,balls,matches,dismissals,average,strike_rate,sixes,fours,highest_score
A Dananjaya,4,5,1,0.0,4.0,80.0,0.0,0.0,4
A Mishra,1,2,1,0.0,1.0,50.0,0.0,0.0,1
AB de Villiers,480,280,11,9.0,53.333333333333336,171.42857142857142,30.0,39.0,90
AD Hales,148,119,6,6.0,24.666666666666668,124.36974789915966,6.0,13.0,45
AD Nath,9,13,1,1.0,9.0,69.23076923076923,0.0,1.0,9
AD Russell,316,179,14,12.0,26.333333333333332,176.53631284916202,31.0,17.0,88
AJ Finch,134,102,9,8.0,16.75,131.37254901960785,8.0,6.0,46
AJ Tye,32,40,8,6.0,5.333333333333333,80.0,1.0,2.0,14
AM Rahane,370,321,14,13.0,28.46153846153846,115.26479750778816,5.0,39.0,65
AR Patel,80,71,8,7.0,11.428571428571429,112.67605633802818,4.0,3.0,19
AS Rajpoot,11,18,3,2.0,5.5,61.111111111111114,0.0,1.0,8
AT Rayudu,602,410,16,14.0,43.0,146.8292682926829,34.0,53.0,100
Abhishek Sharma,63,35,3,1.0,63.0,180.0,5.0,3.0,46
Anureet Singh,3,4,1,0.0,3.0,75.0,0.0,0.0,3
B Kumar,13,18,4,2.0,6.5,72.22222222222221,0.0,1.0,7
B Laughlin,1,4,2,1.0,1.0,25.0,0.0,0.0,1
B Stanlake,5,2,1,0.0,5.0,250.0,0.0,1.0,5
BA Stokes,196,166,12,13.0,15.076923076923077,118.07228915662651,6.0,13.0,45
BB McCullum,127,91,6,6.0,21.166666666666668,139.56043956043956,6.0,16.0,43
BB Sran,3,7,3,1.0,3.0,42.857142857142854,0.0,0.0,2
BCJ Cutting,96,59,6,4.0,24.0,162.71186440677968,8.0,5.0,37
Basil Thampi,3,6,1,1.0,3.0,50.0,0.0,0.0,3
C Munro,63,41,4,4.0,15.75,153.65853658536585,4.0,7.0,33
C de Grandhomme,131,87,8,4.0,32.75,150.57471264367817,10.0,4.0,40
CA Lynn,491,382,16,14.0,35.07142857142857,128.53403141361258,18.0,56.0,74
CH Gayle,368,261,11,9.0,40.888888888888886,140.99616858237547,27.0,30.0,104
CH Morris,46,26,3,1.0,46.0,176.9230769230769,2.0,3.0,27
CJ Anderson,17,22,3,3.0,5.666666666666667,77.27272727272727,1.0,0.0,15
CR Brathwaite,75,54,4,4.0,18.75,138.88888888888889,8.0,1.0,43
CR Woakes,17,19,4,2.0,8.5,89.47368421052632,1.0,1.0,11
DA Miller,74,66,3,2.0,37.0,112.12121212121211,2.0,3.0,26
DJ Bravo,141,93,10,4.0,35.25,151.61290322580646,10.0,8.0,68
DJ Hooda,87,86,8,5.0,17.4,101.16279069767442,3.0,2.0,32
DJM Short,115,102,7,7.0,16.428571428571427,112.74509803921569,5.0,11.0,44
DL Chahar,50,30,4,3.0,16.666666666666668,166.66666666666669,4.0,1.0,39
DR Shorey,8,9,1,1.0,8.0,88.88888888888889,1.0,0.0,8
DS Kulkarni,6,7,2,0.0,6.0,85.71428571428571,0.0,0.0,3
DT Christian,26,33,3,1.0,26.0,78.78787878787878,1.0,0.0,13
E Lewis,382,290,13,13.0,29.384615384615383,131.72413793103448,24.0,32.0,65
F du Plessis,162,130,6,6.0,27.0,124.61538461538461,6.0,17.0,67
G Gambhir,85,91,5,4.0,21.25,93.4065934065934,1.0,8.0,55
GJ Maxwell,169,122,12,12.0,14.083333333333334,138.52459016393445,9.0,14.0,47
H Klaasen,57,48,4,3.0,19.0,118.75,1.0,5.0,32
HH Pandya,260,205,13,9.0,28.88888888888889,126.82926829268293,11.0,20.0,50
HV Patel,60,33,2,0.0,60.0,181.8181818181818,6.0,1.0,36
Harbhajan Singh,29,38,3,2.0,14.5,76.31578947368422,1.0,3.0,19
IS Sodhi,1,6,1,1.0,1.0,16.666666666666664,0.0,0.0,1
Imran Tahir,2,2,1,0.0,2.0,100.0,0.0,0.0,2
Ishan Kishan,275,187,12,12.0,22.916666666666668,147.05882352941177,17.0,22.0,62
JC Archer,15,21,6,5.0,3.0,71.42857142857143,0.0,2.0,8
JC Buttler,548,365,13,11.0,49.81818181818182,150.13698630136986,21.0,52.0,95
JD Unadkat,49,38,5,5.0,9.8,128.94736842105263,1.0,6.0,26
JJ Bumrah,10,11,3,1.0,10.0,90.9090909090909,0.0,1.0,6
JJ Roy,120,98,5,4.0,30.0,122.44897959183673,7.0,9.0,91
JP Duminy,36,46,2,1.0,36.0,78.26086956521739,1.0,3.0,23
