,matches,wins,losses,points,nrr,runs,wickets
MI,16,11,3,22,0.0,0,0
DC,17,8,8,16,0.0,0,0
SRH,16,8,7,16,0.0,0,0
RCB,15,6,8,12,0.0,0,0
RR,14,6,8,12,0.0,0,0
KKR,14,6,7,12,0.0,0,0
CSK,14,6,8,12,0.0,0,0
KXIP,14,5,7,10,0.0,0,0
