,matches,wins,losses,points,nrr,runs,wickets
MI,17,11,5,22,0.0,0,0
RPS,16,10,6,20,0.0,0,0
KKR,16,9,7,18,0.0,0,0
SRH,14,8,6,16,0.0,0,0
KXIP,14,7,7,14,0.0,0,0
DD,14,6,8,12,0.0,0,0
GL,14,4,9,8,0.0,0,0
RCB,13,3,10,6,0.0,0,0
