,matches,wins,losses,points,nrr,runs,wickets
MI,16,11,5,22,0.0,0,0
CSK,16,9,6,18,0.0,0,0
SRH,16,8,8,16,0.0,0,0
RCB,16,8,8,16,0.0,0,0
KKR,14,7,7,14,0.0,0,0
DD,14,7,7,14,0.0,0,0
RR,14,6,8,12,0.0,0,0
KXIP,14,3,10,6,0.0,0,0
