,runs,wickets,batting_sr,bowling_economy
RA Jadeja,191.0,9.0,101.05820105820106,7.773279352226721
AD Russell,188.0,19.0,150.4,8.0625
Shakib Al Hasan,114.0,5.0,105.55555555555556,7.8
NLTC Perera,150.0,10.0,154.63917525773198,9.683168316831685
MP Stoinis,146.0,9.0,131.53153153153156,8.700000000000001
SR Watson,179.0,23.0,132.5925925925926,8.166666666666666
CH Morris,195.0,16.0,171.05263157894737,7.007299270072993
MC Henriques,182.0,14.0,112.34567901234568,7.886792452830188
AR Patel,111.0,13.0,137.03703703703704,8.061224489795919
KH Pandya,237.0,7.0,186.61417322834646,7.360824742268041
DR Smith,324.0,8.0,143.36283185840708,8.176991150442479
