season,wickets
2008,11.89655172413793
2009,12.24561403508772
2010,12.083333333333334
2011,11.136986301369863
2012,11.594594594594595
2013,12.0
2014,11.233333333333333
2015,11.711864406779661
2016,11.1
2017,12.05084745762712
2018,12.033333333333333
2019,11.416666666666666
2020,11.283333333333333
2021,11.95
2022,12.324324324324325
2023,12.378378378378379
2024,12.43661971830986
