,matches,wins,losses,points,nrr,runs,wickets
MI,19,13,6,26,0.0,0,0
CSK,18,12,6,24,0.0,0,0
RR,18,11,7,22,0.0,0,0
SRH,17,9,7,18,0.0,0,0
RCB,16,8,6,16,0.0,0,0
KXIP,16,8,8,16,0.0,0,0
KKR,16,6,10,12,0.0,0,0
PW,16,4,12,8,0.0,0,0
DD,16,3,12,6,0.0,0,0
