,matches,wins,losses,points,nrr,runs,wickets
MI,16,10,5,20,0.0,0,0
CSK,17,10,7,20,0.0,0,0
DC,16,9,6,18,0.0,0,0
SRH,15,6,8,12,0.0,0,0
KXIP,14,6,8,12,0.0,0,0
KKR,14,6,7,12,0.0,0,0
RCB,14,5,8,10,0.0,0,0
RR,14,5,8,10,0.0,0,0
