match_id,season,team1,team2,winner,nrr
2009_54,2009,DD,MI,DD,-1.4972935461485077
2009_55,2009,DD,SRH,SRH,-0.9059999999999997
2009_56,2009,RCB,CSK,RCB,-0.6519618239660652
2009_57,2009,RCB,SRH,SRH,0.016135379771743175
2010_01,2010,SRH,KKR,KKR,0.5196850393700787
2010_02,2010,MI,RR,MI,-0.12353488372093047
2010_03,2010,KXIP,DD,DD,-0.42366942148760245
2010_04,2010,CSK,SRH,SRH,0.9461925153602682
2010_05,2010,KKR,RCB,KKR,-0.10445739059747972
2010_06,2010,RR,DD,DD,-1.1946168224299063
2010_07,2010,KKR,CSK,CSK,2.636433085630946
2010_08,2010,RCB,KXIP,RCB,-1.0036505867014345
2010_09,2010,DD,MI,MI,3.3089213362892744
2010_10,2010,RCB,RR,RCB,-3.407542026351658
2010_11,2010,SRH,KXIP,SRH,0.3641782956238977
2010_12,2010,DD,CSK,CSK,-0.38829268292682784
2010_13,2010,MI,RCB,RCB,-0.7805049088359057
2010_14,2010,RR,KKR,RR,1.5504938520459595
2010_16,2010,CSK,KXIP,,0.31352459016393475
2010_15,2010,SRH,DD,SRH,0.49586776859504145
2010_17,2010,MI,KKR,MI,-0.7581780538302265
2010_18,2010,RCB,CSK,RCB,1.8456221198156673
2010_19,2010,KXIP,RR,RR,0.9818037451200938
2010_20,2010,CSK,MI,MI,-0.7423076923076941
2010_21,2010,RCB,DD,DD,0.6776692913385807
2010_22,2010,RR,SRH,RR,-2.3480802013150406
2010_23,2010,KXIP,KKR,KKR,1.5341538461538455
2010_24,2010,SRH,MI,MI,0.8545454545454545
2010_25,2010,RR,CSK,RR,0.9000399840063977
2010_26,2010,DD,KKR,DD,2.0407066052227343
2010_27,2010,MI,KXIP,MI,-0.2346964693929383
2010_28,2010,CSK,RCB,CSK,-0.5173697270471473
2010_29,2010,DD,RR,DD,2.43622373483279
2010_30,2010,KKR,SRH,KKR,1.0830476190476181
2010_31,2010,KXIP,RCB,RCB,-0.5978676872607984
2010_32,2010,CSK,RR,CSK,1.3943606557377048
2010_33,2010,MI,SRH,MI,2.560271646859084
2010_34,2010,DD,RCB,DD,1.6863535577504551
2010_35,2010,KKR,KXIP,KXIP,-1.4797525309336326
2010_36,2010,SRH,RR,RR,0.27990708478513326
2010_37,2010,CSK,MI,CSK,1.176235465116279
2010_38,2010,KKR,DD,KKR,0.5384024577572966
2010_39,2010,RR,KXIP,RR,-2.4256259204712807
2010_40,2010,RCB,SRH,SRH,-0.7308328035600749
2010_41,2010,KXIP,MI,KXIP,-0.33002291825821306
2010_42,2010,SRH,CSK,SRH,-0.16085466639790358
2010_43,2010,RCB,KKR,RCB,-1.5507637017070977
2010_45,2010,RR,MI,MI,1.4733231707317076
2010_44,2010,DD,KXIP,KXIP,-0.6611883691529714
2010_46,2010,SRH,RCB,SRH,0.6824516129032245
2010_47,2010,MI,DD,MI,1.7020327868852458
2010_48,2010,CSK,KKR,CSK,-3.357696566998893
2010_49,2010,RR,RCB,RCB,-2.0840685002594714
2010_50,2010,CSK,DD,DD,-0.5114942528735638
2010_51,2010,KXIP,SRH,SRH,-0.4020983606557387
2010_52,2010,RCB,MI,MI,2.5050741608118647
2010_53,2010,KKR,RR,KKR,-1.1276223776223784
2010_54,2010,DD,SRH,SRH,0.6534972787744406
2010_55,2010,KXIP,CSK,CSK,-0.14634146341463428
2010_56,2010,KKR,MI,KKR,-0.7563136907399199
2010_57,2010,RCB,MI,MI,1.7085383858267704
2010_58,2010,CSK,SRH,CSK,1.6386936750723438
2010_59,2010,RCB,SRH,RCB,-1.8270676691729326
2010_60,2010,CSK,MI,CSK,1.121032258064516
2011_01,2011,CSK,KKR,CSK,0.2209232009675457
2011_02,2011,SRH,RR,RR,-0.49971501852379596
2011_03,2011,KTK,RCB,RCB,-0.2427352705945074
2011_04,2011,PW,KXIP,PW,-2.89229268292683
2011_05,2011,DD,MI,MI,-0.31818181818181746
2011_06,2011,KKR,SRH,KKR,0.49960660896931586
2011_07,2011,RCB,MI,MI,-0.8187268055952055
2011_08,2011,RR,DD,RR,-0.6935483870967749
2011_10,2011,PW,KTK,PW,-0.14634146341463428
2011_09,2011,KXIP,CSK,KXIP,-0.7368569813453938
2011_11,2011,SRH,RCB,SRH,1.5839999999999996
2011_12,2011,RR,KKR,KKR,-0.9679276315789469
2011_13,2011,MI,KTK,KTK,-0.45730027548209407
2011_14,2011,SRH,KXIP,KXIP,-0.6994051936747425
2011_15,2011,CSK,RCB,CSK,1.298380165289255
2011_16,2011,KKR,RR,KKR,-0.6678370786516847
2011_17,2011,PW,DD,DD,-0.5167256985438797
2011_18,2011,KTK,CSK,KTK,-1.2466555183946486
2011_19,2011,DD,SRH,SRH,0.7868852459016393
2011_20,2011,KKR,KTK,KTK,0.24230307876849277
2011_21,2011,MI,PW,MI,0.34665251345818415
