bowler,runs,balls,matches,wickets,overs,economy,average,strike_rate
A Choudhary,144,108,5,5.0,18.0,8.0,28.8,21.6
A Mishra,345,237,14,10.0,39.5,8.734177215189874,34.5,23.7
A Nehra,198,132,6,10.0,22.0,9.0,19.8,13.2
A Zampa,164,122,6,7.0,20.333333333333332,8.065573770491804,23.428571428571427,17.428571428571427
AB Dinda,121,65,3,2.0,10.833333333333334,11.169230769230769,60.5,32.5
AD Mathews,57,31,2,0.0,5.166666666666667,11.032258064516128,inf,inf
AF Milne,141,90,4,4.0,15.0,9.4,35.25,22.5
AJ Tye,146,128,6,12.0,21.333333333333332,6.84375,12.166666666666666,10.666666666666666
AR Patel,366,294,14,15.0,49.0,7.469387755102041,24.4,19.6
AS Rajpoot,113,87,5,4.0,14.5,7.793103448275862,28.25,21.75
Ankit Sharma,16,6,1,0.0,1.0,16.0,inf,inf
Ankit Soni,145,112,6,4.0,18.666666666666668,7.767857142857142,36.25,28.0
Anureet Singh,26,12,1,0.0,2.0,13.0,inf,inf
Avesh Khan,24,24,1,1.0,4.0,6.0,24.0,24.0
B Kumar,384,324,14,28.0,54.0,7.111111111111111,13.714285714285714,11.571428571428571
B Stanlake,70,50,2,2.0,8.333333333333334,8.399999999999999,35.0,25.0
BA Stokes,327,274,12,14.0,45.666666666666664,7.160583941605839,23.357142857142858,19.571428571428573
BB Sran,29,13,1,0.0,2.1666666666666665,13.384615384615385,inf,inf
BCJ Cutting,123,79,4,2.0,13.166666666666666,9.341772151898734,61.5,39.5
Basil Thampi,428,278,12,15.0,46.333333333333336,9.237410071942445,28.533333333333335,18.533333333333335
Bipul Sharma,131,100,7,3.0,16.666666666666668,7.859999999999999,43.666666666666664,33.333333333333336
C de Grandhomme,136,102,9,4.0,17.0,8.0,34.0,25.5
CH Morris,241,189,9,14.0,31.5,7.650793650793651,17.214285714285715,13.5
CJ Anderson,187,121,8,4.0,20.166666666666668,9.272727272727272,46.75,30.25
CJ Jordan,10,7,1,1.0,1.1666666666666667,8.571428571428571,10.0,7.0
CR Brathwaite,67,38,2,1.0,6.333333333333333,10.578947368421053,67.0,38.0
CR Woakes,393,278,13,18.0,46.333333333333336,8.482014388489208,21.833333333333332,15.444444444444445
DJ Hooda,42,24,3,2.0,4.0,10.5,21.0,12.0
DL Chahar,75,44,3,1.0,7.333333333333333,10.227272727272728,75.0,44.0
DR Smith,151,82,9,2.0,13.666666666666666,11.048780487804878,75.5,41.0
DS Kulkarni,173,118,6,3.0,19.666666666666668,8.796610169491524,57.666666666666664,39.333333333333336
DT Christian,303,249,13,12.0,41.5,7.301204819277109,25.25,20.75
GJ Maxwell,126,115,8,7.0,19.166666666666668,6.57391304347826,18.0,16.428571428571427
HH Pandya,219,162,13,6.0,27.0,8.11111111111111,36.5,27.0
HV Patel,43,25,1,3.0,4.166666666666667,10.319999999999999,14.333333333333334,8.333333333333334
Harbhajan Singh,269,247,11,8.0,41.166666666666664,6.534412955465587,33.625,30.875
I Sharma,190,114,6,0.0,19.0,10.0,inf,inf
IK Pathan,26,12,1,2.0,2.0,13.0,13.0,6.0
Imran Tahir,370,286,12,19.0,47.666666666666664,7.7622377622377625,19.473684210526315,15.052631578947368
Iqbal Abdulla,55,34,2,2.0,5.666666666666667,9.705882352941176,27.5,17.0
J Yadav,43,37,2,0.0,6.166666666666667,6.972972972972973,inf,inf
JD Unadkat,330,279,12,27.0,46.5,7.096774193548387,12.222222222222221,10.333333333333334
JJ Bumrah,455,373,16,23.0,62.166666666666664,7.319034852546917,19.782608695652176,16.217391304347824
JP Faulkner,279,164,8,11.0,27.333333333333332,10.207317073170731,25.363636363636363,14.909090909090908
K Rabada,198,137,6,8.0,22.833333333333332,8.671532846715328,24.75,17.125
KA Pollard,30,12,1,0.0,2.0,15.0,inf,inf
KC Cariappa,127,94,4,4.0,15.666666666666666,8.106382978723405,31.75,23.5
KH Pandya,280,246,13,10.0,41.0,6.829268292682927,28.0,24.6
KV Sharma,217,189,9,13.0,31.5,6.888888888888889,16.692307692307693,14.538461538461538
Kuldeep Yadav,345,250,11,12.0,41.666666666666664,8.280000000000001,28.75,20.833333333333332
LH Ferguson,96,87,4,5.0,14.5,6.620689655172414,19.2,17.4
MC Henriques,248,148,12,2.0,24.666666666666668,10.054054054054054,124.0,74.0
MG Johnson,147,125,5,9.0,20.833333333333332,7.056,16.333333333333332,13.88888888888889
MJ Henry,71,31,2,2.0,5.166666666666667,13.741935483870966,35.5,15.5
MJ McClenaghan,512,345,14,20.0,57.5,8.904347826086957,25.6,17.25
MM Patel,58,42,2,1.0,7.0,8.285714285714286,58.0,42.0
MM Sharma,412,277,14,13.0,46.166666666666664,8.92418772563177,31.692307692307693,21.307692307692307
MN Samuels,34,18,2,0.0,3.0,11.333333333333334,inf,inf
MP Stoinis,111,69,5,2.0,11.5,9.652173913043478,55.5,34.5
MS Gony,32,15,1,0.0,2.5,12.8,inf,inf
Mohammad Nabi,59,66,3,2.0,11.0,5.363636363636363,29.5,33.0
Mohammed Shami,248,165,8,8.0,27.5,9.018181818181818,31.0,20.625
Mohammed Siraj,214,141,6,10.0,23.5,9.106382978723405,21.4,14.1
Mustafizur Rahman,34,17,1,0.0,2.8333333333333335,12.0,inf,inf
NB Singh,18,25,2,1.0,4.166666666666667,4.319999999999999,18.0,25.0
NM Coulter-Nile,232,178,8,16.0,29.666666666666668,7.820224719101123,14.5,11.125
P Kumar,154,108,6,6.0,18.0,8.555555555555555,25.666666666666668,18.0
P Negi,202,200,12,17.0,33.333333333333336,6.06,11.882352941176471,11.764705882352942
PJ Cummins,393,289,12,16.0,48.166666666666664,8.159169550173011,24.5625,18.0625
PJ Sangwan,183,110,5,6.0,18.333333333333332,9.981818181818182,30.5,18.333333333333332
PP Chawla,179,122,6,6.0,20.333333333333332,8.80327868852459,29.833333333333332,20.333333333333332
R Bhatia,55,43,3,2.0,7.166666666666667,7.674418604651162,27.5,21.5
R Tewatia,51,55,3,3.0,9.166666666666666,5.563636363636364,17.0,18.333333333333332
R Vinay Kumar,31,20,1,2.0,3.3333333333333335,9.299999999999999,15.5,10.0
