batter,runs,balls,matches,dismissals,average,strike_rate,sixes,fours,highest_score
Mohammad Nabi,34,22,3,3.0,11.333333333333334,154.54545454545453,2.0,3.0,17
Mohammed Shami,13,17,3,1.0,13.0,76.47058823529412,0.0,0.0,9
Mohammed Siraj,20,26,4,1.0,20.0,76.92307692307693,1.0,1.0,12
Mujeeb Ur Rahman,1,1,1,0.0,1.0,100.0,0.0,0.0,1
Mustafizur Rahman,8,14,3,0.0,8.0,57.14285714285714,1.0,0.0,8
N Pooran,85,77,10,10.0,8.5,110.3896103896104,5.0,3.0,32
N Rana,383,325,16,13.0,29.46153846153846,117.84615384615384,17.0,34.0,80
NM Coulter-Nile,4,5,2,2.0,2.0,80.0,0.0,0.0,3
NT Ellis,18,17,2,1.0,18.0,105.88235294117648,1.0,0.0,12
Navdeep Saini,2,5,1,1.0,2.0,40.0,0.0,0.0,2
P Simran Singh,19,23,2,2.0,9.5,82.6086956521739,1.0,1.0,12
PJ Cummins,93,60,5,5.0,18.6,155.0,8.0,5.0,66
PK Garg,72,75,5,5.0,14.4,96.0,3.0,2.0,29
PP Chawla,0,2,1,1.0,0.0,0.0,0.0,0.0,0
PP Shaw,479,308,15,14.0,34.214285714285715,155.5194805194805,18.0,56.0,82
PWH de Silva,1,2,2,1.0,1.0,50.0,0.0,0.0,1
Q de Kock,297,261,11,10.0,29.7,113.79310344827587,7.0,29.0,70
R Ashwin,44,43,5,3.0,14.666666666666666,102.32558139534885,1.0,2.0,20
R Parag,93,84,10,8.0,11.625,110.71428571428572,4.0,6.0,25
R Tewatia,155,152,11,11.0,14.090909090909092,101.9736842105263,6.0,11.0,44
RA Jadeja,227,170,11,4.0,56.75,133.52941176470588,9.0,19.0,62
RA Tripathi,397,285,16,15.0,26.466666666666665,139.29824561403507,11.0,41.0,74
RD Chahar,14,15,4,4.0,3.5,93.33333333333333,0.0,1.0,8
RD Gaikwad,635,474,16,15.0,42.333333333333336,133.9662447257384,23.0,64.0,101
RG Sharma,381,307,13,12.0,31.75,124.10423452768731,14.0,33.0,63
RM Patidar,71,65,4,4.0,17.75,109.23076923076923,3.0,3.0,31
RR Pant,424,343,16,13.0,32.61538461538461,123.61516034985422,10.0,43.0,58
RV Patel,25,29,2,1.0,25.0,86.20689655172413,0.0,3.0,18
RV Uthappa,115,86,4,4.0,28.75,133.72093023255815,5.0,8.0,63
Rashid Khan,83,71,10,8.0,10.375,116.90140845070422,2.0,9.0,22
Ravi Bishnoi,1,5,1,1.0,1.0,20.0,0.0,0.0,1
S Dhawan,587,480,16,15.0,39.13333333333333,122.29166666666667,16.0,63.0,92
S Dube,230,205,9,8.0,28.75,112.19512195121952,10.0,18.0,64
S Gopal,7,5,2,1.0,7.0,140.0,1.0,0.0,7
S Kaul,8,8,2,0.0,8.0,100.0,0.0,1.0,7
S Nadeem,0,1,1,1.0,0.0,0.0,0.0,0.0,0
SA Yadav,317,226,14,14.0,22.642857142857142,140.26548672566372,10.0,40.0,82
SK Raina,160,133,11,7.0,22.857142857142858,120.30075187969925,9.0,13.0,54
SM Curran,56,30,4,3.0,18.666666666666668,186.66666666666666,3.0,5.0,34
SN Khan,0,4,2,2.0,0.0,0.0,0.0,0.0,0
SN Thakur,5,6,4,1.0,5.0,83.33333333333334,0.0,0.0,3
SO Hetmyer,242,153,12,6.0,40.333333333333336,158.16993464052288,12.0,19.0,53
SP Narine,62,51,10,8.0,7.75,121.56862745098039,5.0,3.0,26
SPD Smith,152,136,7,6.0,25.333333333333332,111.76470588235294,2.0,13.0,39
SS Iyer,175,181,8,6.0,29.166666666666668,96.68508287292818,5.0,7.0,47
SS Tiwary,115,99,4,2.0,57.5,116.16161616161615,2.0,10.0,50
SV Samson,484,372,14,12.0,40.333333333333336,130.10752688172042,17.0,45.0,119
Sachin Baby,7,17,1,1.0,7.0,41.17647058823529,0.0,0.0,7
Sandeep Sharma,8,7,2,0.0,8.0,114.28571428571428,0.0,1.0,8
Shahbaz Ahmed,59,55,7,7.0,8.428571428571429,107.27272727272728,2.0,4.0,14
Shakib Al Hasan,47,50,6,5.0,9.4,94.0,1.0,3.0,26
Shivam Mavi,25,21,2,2.0,12.5,119.04761904761905,2.0,2.0,20
Shubman Gill,478,415,17,17.0,28.11764705882353,115.18072289156626,12.0,50.0,57
T Shamsi,2,4,1,0.0,2.0,50.0,0.0,0.0,2
TA Boult,1,4,2,0.0,1.0,25.0,0.0,0.0,1
TG Southee,3,5,1,1.0,3.0,60.0,0.0,0.0,3
TH David,1,3,1,1.0,1.0,33.33333333333333,0.0,0.0,1
TK Curran,21,17,2,1.0,21.0,123.52941176470588,0.0,2.0,21
TL Seifert,2,5,1,1.0,2.0,40.0,0.0,0.0,2
V Kohli,405,347,15,14.0,28.928571428571427,116.71469740634006,9.0,43.0,72
V Shankar,58,52,5,5.0,11.6,111.53846153846155,3.0,1.0,28
VR Iyer,370,299,10,9.0,41.111111111111114,123.74581939799332,14.0,37.0,67
Virat Singh,15,26,2,3.0,5.0,57.692307692307686,0.0,1.0,11
WP Saha,131,144,9,9.0,14.555555555555555,90.97222222222221,5.0,7.0,44
Washington Sundar,31,48,4,4.0,7.75,64.58333333333334,0.0,2.0,10
YBK Jaiswal,249,168,10,10.0,24.9,148.21428571428572,10.0,32.0,50
YS Chahal,10,27,2,0.0,10.0,37.03703703703704,0.0,0.0,8
