batter,runs,balls,matches,dismissals,average,strike_rate,sixes,fours,highest_score
AB de Villiers,313,215,14,11.0,28.454545454545453,145.58139534883722,16.0,23.0,76
AD Russell,183,127,8,6.0,30.5,144.09448818897638,14.0,14.0,54
AF Milne,16,19,3,2.0,8.0,84.21052631578947,1.0,0.0,15
AK Markram,146,123,6,5.0,29.2,118.69918699186992,4.0,12.0,42
AM Rahane,8,9,1,1.0,8.0,88.88888888888889,0.0,1.0,8
AR Patel,40,52,6,5.0,8.0,76.92307692307693,1.0,2.0,12
AT Rayudu,257,175,13,9.0,28.555555555555557,146.85714285714286,17.0,16.0,72
Abdul Samad,111,89,10,9.0,12.333333333333334,124.7191011235955,8.0,4.0,28
Abhishek Sharma,98,78,7,6.0,16.333333333333332,125.64102564102564,4.0,7.0,33
Anmolpreet Singh,16,14,1,1.0,16.0,114.28571428571428,1.0,2.0,16
Anuj Rawat,0,1,1,1.0,0.0,0.0,0.0,0.0,0
Arshdeep Singh,2,3,2,0.0,2.0,66.66666666666666,0.0,0.0,1
Avesh Khan,5,3,1,0.0,5.0,166.66666666666669,0.0,1.0,5
B Kumar,34,32,7,2.0,17.0,106.25,0.0,3.0,14
BA Stokes,0,3,1,1.0,0.0,0.0,0.0,0.0,0
C Sakariya,16,25,5,4.0,4.0,64.0,0.0,2.0,7
CA Lynn,49,36,1,2.0,24.5,136.11111111111111,3.0,4.0,49
CH Gayle,193,160,10,11.0,17.545454545454547,120.625,8.0,21.0,46
CH Morris,67,53,7,5.0,13.4,126.41509433962264,5.0,2.0,36
CJ Jordan,32,21,2,2.0,16.0,152.38095238095238,3.0,1.0,30
CR Woakes,15,11,1,0.0,15.0,136.36363636363635,0.0,2.0,15
CV Varun,2,4,2,0.0,2.0,50.0,0.0,0.0,2
D Padikkal,411,342,14,14.0,29.357142857142858,120.17543859649122,14.0,44.0,101
DA Miller,124,115,8,5.0,24.8,107.82608695652173,3.0,11.0,62
DA Warner,197,191,8,6.0,32.833333333333336,103.1413612565445,6.0,15.0,57
DJ Bravo,47,22,3,2.0,23.5,213.63636363636363,4.0,3.0,23
DJ Hooda,160,125,11,9.0,17.77777777777778,128.0,9.0,9.0,64
DJ Malan,26,26,1,1.0,26.0,100.0,1.0,1.0,26
DL Chahar,1,1,1,0.0,1.0,100.0,0.0,0.0,1
DR Sams,6,6,2,1.0,6.0,100.0,0.0,0.0,3
DT Christian,14,24,7,4.0,3.5,58.333333333333336,0.0,1.0,9
E Lewis,151,96,5,5.0,30.2,157.29166666666669,7.0,18.0,58
EJG Morgan,133,142,15,12.0,11.083333333333334,93.66197183098592,6.0,8.0,47
F du Plessis,633,471,16,14.0,45.214285714285715,134.39490445859872,23.0,61.0,95
FA Allen,6,12,2,1.0,6.0,50.0,0.0,0.0,6
GD Phillips,26,33,3,2.0,13.0,78.78787878787878,2.0,1.0,14
GHS Garton,2,4,2,1.0,2.0,50.0,0.0,0.0,2
GJ Maxwell,513,373,14,11.0,46.63636363636363,137.53351206434317,21.0,48.0,78
HH Pandya,127,116,11,9.0,14.11111111111111,109.48275862068965,5.0,11.0,40
HV Patel,59,48,7,6.0,9.833333333333334,122.91666666666667,2.0,6.0,31
Harbhajan Singh,4,4,2,0.0,4.0,100.0,0.0,0.0,2
Harpreet Brar,64,61,5,0.0,64.0,104.91803278688525,2.0,3.0,25
Ishan Kishan,241,182,10,9.0,26.77777777777778,132.41758241758242,10.0,21.0,84
J Suchith,14,6,1,0.0,14.0,233.33333333333334,1.0,2.0,14
J Yadav,34,26,2,2.0,17.0,130.76923076923077,1.0,2.0,23
JA Richardson,15,25,2,2.0,7.5,60.0,0.0,2.0,15
JC Buttler,254,173,7,7.0,36.285714285714285,146.82080924855492,13.0,27.0,124
JD Unadkat,41,32,3,2.0,20.5,128.125,2.0,3.0,24
JDS Neesham,0,2,2,2.0,0.0,0.0,0.0,0.0,0
JJ Bumrah,16,17,7,3.0,5.333333333333333,94.11764705882352,0.0,2.0,5
JJ Roy,150,125,5,5.0,30.0,120.0,1.0,21.0,60
JM Bairstow,248,179,7,7.0,35.42857142857143,138.54748603351956,15.0,20.0,63
JO Holder,85,73,7,6.0,14.166666666666666,116.43835616438356,6.0,2.0,47
K Rabada,13,6,3,1.0,13.0,216.66666666666666,0.0,2.0,9
K Yadav,0,4,1,0.0,0.0,0.0,0.0,0.0,0
KA Jamieson,65,55,7,3.0,21.666666666666668,118.18181818181819,3.0,5.0,16
KA Pollard,245,180,13,8.0,30.625,136.11111111111111,16.0,16.0,87
KD Karthik,223,172,15,10.0,22.3,129.6511627906977,7.0,22.0,40
KH Pandya,143,126,12,10.0,14.3,113.4920634920635,6.0,10.0,39
KK Ahmed,1,2,1,1.0,1.0,50.0,0.0,0.0,1
KL Nagarkoti,0,2,1,1.0,0.0,0.0,0.0,0.0,0
KL Rahul,626,465,13,9.0,69.55555555555556,134.6236559139785,30.0,48.0,98
KM Jadhav,55,55,5,4.0,13.75,100.0,2.0,2.0,19
KS Bharat,191,161,6,5.0,38.2,118.6335403726708,8.0,10.0,78
KS Williamson,270,250,10,6.0,45.0,108.0,2.0,30.0,70
Kartik Tyagi,2,4,2,1.0,2.0,50.0,0.0,0.0,1
LH Ferguson,18,13,1,0.0,18.0,138.46153846153845,1.0,1.0,18
LS Livingstone,42,43,5,5.0,8.4,97.67441860465115,1.0,3.0,25
Lalit Yadav,68,75,5,2.0,34.0,90.66666666666666,0.0,7.0,22
M Ashwin,15,24,2,2.0,7.5,62.5,0.0,1.0,9
M Jansen,0,4,2,2.0,0.0,0.0,0.0,0.0,0
M Prasidh Krishna,0,1,1,0.0,0.0,0.0,0.0,0.0,0
M Shahrukh Khan,153,118,10,6.0,25.5,129.66101694915255,10.0,9.0,47
M Vohra,42,40,4,4.0,10.5,105.0,2.0,5.0,14
MA Agarwal,441,324,12,12.0,36.75,136.11111111111111,18.0,42.0,99
MC Henriques,31,32,4,3.0,10.333333333333334,96.875,1.0,0.0,14
MK Lomror,94,76,4,3.0,31.333333333333332,123.6842105263158,6.0,3.0,43
MK Pandey,292,246,8,6.0,48.666666666666664,118.69918699186992,10.0,21.0,69
MM Ali,357,270,15,14.0,25.5,132.22222222222223,19.0,31.0,58
MP Stoinis,89,74,7,4.0,22.25,120.27027027027026,1.0,11.0,27
MS Dhoni,114,111,11,8.0,14.25,102.7027027027027,3.0,12.0,18
Mandeep Singh,15,14,1,1.0,15.0,107.14285714285714,0.0,2.0,15
