type,description,winner,margin
Highest Scoring Match,KXIP vs CSK,CSK,447 runs total
Closest Run Victory,MI vs KXIP,KXIP,1 runs
Closest Wicket Victory,SRH vs RR,RR,3 wickets
Most Sixes in a Match,KXIP vs CSK,CSK,25 sixes
