type,description,winner,margin
Highest Scoring Match,KXIP vs RR,RR,449 runs total
Closest Run Victory,KKR vs KXIP,KKR,2 runs
Closest Wicket Victory,KXIP vs RR,RR,4 wickets
Most Sixes in a Match,RR vs CSK,RR,33 sixes
