,runs,wickets,batting_sr,bowling_economy
KV Sharma,104.0,11.0,119.54022988505749,8.485355648535565
AD Mathews,144.0,7.0,132.11009174311928,8.075675675675676
RA Jadeja,132.0,12.0,103.125,7.767441860465116
AD Russell,326.0,14.0,186.28571428571428,7.8425196850393695
KA Pollard,419.0,6.0,155.1851851851852,8.962962962962964
DJ Bravo,195.0,28.0,129.13907284768212,8.185185185185185
SR Watson,347.0,8.0,128.51851851851853,8.487046632124352
Harbhajan Singh,117.0,19.0,144.44444444444443,7.702005730659026
MC Henriques,287.0,11.0,132.87037037037038,6.2675159235668785
D Wiese,122.0,17.0,135.55555555555557,8.244274809160306
AR Patel,206.0,14.0,113.8121546961326,8.283737024221454
JP Duminy,414.0,8.0,126.60550458715596,7.177570093457945
RS Bopara,145.0,8.0,119.83471074380165,8.0
JP Faulkner,144.0,9.0,124.13793103448276,9.245551601423488
P Negi,116.0,7.0,150.64935064935065,8.491803278688524
