match_id,player,role,total_points,batting_points,bowling_points,fielding_points,runs,boundaries,sixes,strike_rate,balls_faced,wickets,lbw_bowled,maidens,economy_rate,overs_bowled,catches,stumpings,run_outs
2010_49,SR Watson,Batsman,35.0,25.0,2.0,8.0,22,3,0,88.0,25,0,0,0,6.0,4.0,1,0,0
2010_49,AA Jhunjhunwala,Batsman,10.0,10.0,0.0,0.0,13,1,0,59.09090909090909,22,0,0,0,0.0,0.0,0,0,0
2010_49,YK Pathan,Batting All-Rounder,21.0,13.0,0.0,8.0,11,2,0,110.00000000000001,10,0,0,0,0.0,0.0,1,0,0
2010_49,AC Voges,Batsman,31.0,31.0,0.0,0.0,28,3,0,103.7037037037037,27,0,0,0,17.0,1.0,0,0,0
2010_49,AS Raut,Batsman,45.0,45.0,0.0,0.0,32,3,1,160.0,20,0,0,0,0.0,0.0,0,0,0
2010_49,MK Pandey,Batting All-Rounder,25.0,17.0,0.0,8.0,14,3,0,107.6923076923077,13,0,0,0,0.0,0.0,1,0,0
2010_49,JH Kallis,Bowler,27.0,-2.0,29.0,0.0,0,0,0,0.0,3,1,0,0,5.52,4.166666666666667,0,0,0
2010_49,KP Pietersen,Batsman,98.0,90.0,0.0,8.0,62,10,2,213.79310344827584,29,0,0,0,0.0,0.0,1,0,0
2010_49,RV Uthappa,Batsman,38.0,30.0,0.0,8.0,26,2,1,123.80952380952381,21,0,0,0,0.0,0.0,1,0,0
2010_49,V Kohli,Batsman,16.0,16.0,0.0,0.0,14,2,0,107.6923076923077,13,0,0,0,0.0,0.0,0,0,0
2010_49,LRPL Taylor,Batsman,12.0,12.0,0.0,0.0,10,0,1,90.9090909090909,11,0,0,0,0.0,0.0,0,0,0
2010_49,R Dravid,Batsman,6.0,6.0,0.0,0.0,5,1,0,125.0,4,0,0,0,0.0,0.0,0,0,0
2010_49,A Kumble,Bowling All-Rounder,10.0,0.0,2.0,8.0,0,0,0,0.0,0,0,0,0,6.959999999999999,4.166666666666667,1,0,0
2010_49,DW Steyn,Bowler,39.0,0.0,39.0,0.0,0,0,0,0.0,0,1,1,0,3.5999999999999996,4.166666666666667,0,0,0
2010_49,R Vinay Kumar,Bowler,25.0,0.0,25.0,0.0,0,0,0,0.0,0,1,0,0,9.0,4.0,0,0,0
2010_49,Pankaj Singh,Bowler,64.0,0.0,64.0,0.0,0,0,0,0.0,0,2,0,1,6.75,4.0,0,0,0
2010_49,Kamran Khan,Bowler,31.0,0.0,31.0,0.0,0,0,0,0.0,0,1,1,0,10.0,3.0,0,0,0
2010_49,SK Trivedi,Bowler,50.0,0.0,50.0,0.0,0,0,0,0.0,0,2,0,0,9.0,3.6666666666666665,0,0,0
2010_49,SK Warne,Bowler,25.0,0.0,25.0,0.0,0,0,0,0.0,0,1,0,0,7.0,4.0,0,0,0
2010_50,M Vijay,Batsman,30.0,22.0,0.0,8.0,17,3,0,141.66666666666669,12,0,0,0,0.0,0.0,1,0,0
2010_50,ML Hayden,Batting All-Rounder,9.0,1.0,0.0,8.0,1,0,0,20.0,5,0,0,0,0.0,0.0,1,0,0
2010_50,MS Dhoni,Bowling All-Rounder,-2.0,-2.0,0.0,0.0,0,0,0,0.0,2,0,0,0,0.0,0.0,0,0,0
2010_50,SK Raina,Batsman,21.0,17.0,4.0,0.0,15,2,0,75.0,20,0,0,0,5.0,3.0,0,0,0
2010_50,MEK Hussey,Batsman,17.0,17.0,0.0,0.0,15,2,0,83.33333333333334,18,0,0,0,0.0,0.0,0,0,0
2010_50,JA Morkel,Bowler,5.0,1.0,4.0,0.0,1,0,0,25.0,4,0,0,0,5.647058823529411,2.8333333333333335,0,0,0
2010_50,S Badrinath,Batsman,44.0,36.0,0.0,8.0,30,2,0,100.0,30,0,0,0,0.0,0.0,1,0,0
2010_50,R Ashwin,Bowler,25.0,0.0,25.0,0.0,6,0,0,46.15384615384615,13,1,0,0,7.0,4.0,0,0,0
2010_50,L Balaji,All-Rounder,5.0,3.0,2.0,0.0,3,0,0,37.5,8,0,0,0,6.857142857142857,2.3333333333333335,0,0,0
2010_50,DE Bollinger,Bowler,81.0,19.0,62.0,0.0,16,1,1,114.28571428571428,14,2,1,0,5.76,4.166666666666667,0,0,0
2010_50,V Sehwag,Bowler,60.0,4.0,56.0,0.0,4,0,0,100.0,4,2,0,0,4.5,4.0,0,0,0
2010_50,DA Warner,Bowling All-Rounder,6.0,-2.0,0.0,8.0,0,0,0,0.0,2,0,0,0,0.0,0.0,1,0,0
2010_50,TM Dilshan,Bowler,40.0,1.0,31.0,8.0,1,0,0,50.0,2,1,0,0,4.75,4.0,1,0,0
2010_50,G Gambhir,Batsman,70.0,70.0,0.0,0.0,57,5,0,100.0,57,0,0,0,0.0,0.0,0,0,0
2010_50,KD Karthik,Batting All-Rounder,22.0,14.0,0.0,8.0,13,1,0,76.47058823529412,17,0,0,0,0.0,0.0,1,0,0
2010_50,M Manhas,Batsman,35.0,27.0,0.0,8.0,25,2,0,73.52941176470588,34,0,0,0,0.0,0.0,1,0,0
2010_50,DP Nannes,Bowler,27.0,0.0,27.0,0.0,0,0,0,0.0,0,1,0,0,6.818181818181818,3.6666666666666665,0,0,0
2010_50,A Nehra,Bowler,81.0,0.0,81.0,0.0,0,0,0,0.0,0,3,0,0,6.5,4.0,0,0,0
2010_50,UT Yadav,Bowling All-Rounder,8.0,0.0,0.0,8.0,0,0,0,0.0,0,0,0,0,9.428571428571429,1.1666666666666667,1,0,0
2010_50,A Mishra,Bowler,45.0,0.0,39.0,6.0,0,0,0,0.0,0,1,1,0,3.1199999999999997,4.166666666666667,0,0,1
2010_50,SB Jakati,Bowler,31.0,0.0,31.0,0.0,0,0,0,0.0,0,1,0,0,4.666666666666667,3.0,0,0,0
2010_51,DPMD Jayawardene,Batsman,128.0,120.0,0.0,8.0,93,13,2,143.07692307692307,65,0,0,0,0.0,0.0,1,0,0
2010_51,SE Marsh,Bowling All-Rounder,-2.0,-2.0,0.0,0.0,0,0,0,0.0,1,0,0,0,0.0,0.0,0,0,0
2010_51,KC Sangakkara,Batsman,81.0,73.0,0.0,8.0,52,9,1,140.54054054054055,37,0,0,0,0.0,0.0,1,0,0
2010_51,Yuvraj Singh,All-Rounder,44.0,23.0,21.0,0.0,20,1,1,95.23809523809523,21,1,0,0,11.0,2.0,0,0,0
2010_51,IK Pathan,Bowler,22.0,1.0,21.0,0.0,1,0,0,100.0,1,1,0,0,11.052631578947368,3.1666666666666665,0,0,0
2010_51,AC Gilchrist,Batting All-Rounder,19.0,11.0,0.0,8.0,9,2,0,180.0,5,0,0,0,0.0,0.0,1,0,0
2010_51,MD Mishra,Batsman,24.0,24.0,0.0,0.0,20,4,0,86.95652173913044,23,0,0,0,0.0,0.0,0,0,0
2010_51,TL Suman,Batsman,58.0,58.0,0.0,0.0,43,3,3,130.3030303030303,33,0,0,0,0.0,0.0,0,0,0
2010_51,RG Sharma,Batsman,94.0,94.0,0.0,0.0,68,6,3,174.35897435897436,39,0,0,0,8.0,1.0,0,0,0
2010_51,A Symonds,Batting All-Rounder,12.0,4.0,0.0,8.0,4,0,0,57.14285714285714,7,0,0,0,8.0,2.0,1,0,0
