bowler,runs,balls,matches,wickets,overs,economy,average,strike_rate
A Mishra,72,61,3,3.0,10.166666666666666,7.081967213114755,24.0,20.333333333333332
A Nortje,529,376,16,23.0,62.666666666666664,8.441489361702128,23.0,16.347826086956523
A Zampa,92,67,3,2.0,11.166666666666666,8.238805970149254,46.0,33.5
AD Russell,178,114,7,7.0,19.0,9.368421052631579,25.428571428571427,16.285714285714285
AJ Tye,54,27,1,2.0,4.5,12.0,27.0,13.5
AR Patel,329,308,15,11.0,51.333333333333336,6.409090909090909,29.90909090909091,28.0
AS Rajpoot,206,115,6,2.0,19.166666666666668,10.747826086956522,103.0,57.5
Abdul Samad,96,43,3,1.0,7.166666666666667,13.395348837209301,96.0,43.0
Abhishek Sharma,92,61,6,2.0,10.166666666666666,9.049180327868854,46.0,30.5
Arshdeep Singh,219,158,8,11.0,26.333333333333332,8.316455696202532,19.90909090909091,14.363636363636363
Avesh Khan,42,25,1,0.0,4.166666666666667,10.08,inf,inf
B Kumar,100,88,4,5.0,14.666666666666666,6.818181818181818,20.0,17.6
BA Stokes,159,96,6,2.0,16.0,9.9375,79.5,48.0
Basil Thampi,46,24,1,1.0,4.0,11.5,46.0,24.0
CH Gayle,5,5,1,0.0,0.8333333333333334,6.0,inf,inf
CH Morris,212,204,9,12.0,34.0,6.235294117647059,17.666666666666668,17.0
CJ Green,24,17,1,0.0,2.8333333333333335,8.470588235294118,inf,inf
CJ Jordan,320,210,9,12.0,35.0,9.142857142857142,26.666666666666668,17.5
CV Varun,357,313,13,17.0,52.166666666666664,6.843450479233227,21.0,18.41176470588235
DA Warner,2,2,1,0.0,0.3333333333333333,6.0,inf,inf
DJ Bravo,180,135,6,7.0,22.5,8.0,25.714285714285715,19.285714285714285
DJ Hooda,10,6,1,0.0,1.0,10.0,inf,inf
DL Chahar,402,321,14,12.0,53.5,7.514018691588785,33.5,26.75
DR Sams,114,77,3,0.0,12.833333333333334,8.883116883116882,inf,inf
DS Kulkarni,22,20,1,0.0,3.3333333333333335,6.6,inf,inf
DW Steyn,134,75,3,1.0,12.5,10.72,134.0,75.0
GJ Maxwell,171,126,7,3.0,21.0,8.142857142857142,57.0,42.0
HV Patel,135,98,5,3.0,16.333333333333332,8.26530612244898,45.0,32.666666666666664
Harpreet Brar,41,25,1,0.0,4.166666666666667,9.84,inf,inf
I Sharma,26,20,1,0.0,3.3333333333333335,7.8,inf,inf
I Udana,286,182,10,8.0,30.333333333333332,9.428571428571429,35.75,22.75
Imran Tahir,78,66,3,1.0,11.0,7.090909090909091,78.0,66.0
