batter,runs,balls,matches,dismissals,average,strike_rate,sixes,fours,highest_score
A Badoni,238,186,12,9.0,26.444444444444443,127.95698924731182,12.0,13.0,59
A Manohar,114,86,6,6.0,19.0,132.5581395348837,7.0,6.0,42
A Mishra,19,30,1,1.0,19.0,63.33333333333333,0.0,2.0,19
A Nortje,37,29,7,2.0,18.5,127.58620689655173,0.0,6.0,23
A Zampa,10,17,3,3.0,3.3333333333333335,58.82352941176471,0.0,0.0,7
AD Russell,227,162,14,12.0,18.916666666666668,140.12345679012347,18.0,13.0,42
AJ Hosein,16,11,1,0.0,16.0,145.45454545454547,1.0,1.0,16
AK Markram,248,200,13,11.0,22.545454545454547,124.0,8.0,18.0,50
AM Rahane,326,193,11,10.0,32.6,168.9119170984456,16.0,24.0,71
AR Patel,283,216,13,10.0,28.3,131.0185185185185,15.0,21.0,54
AS Joseph,7,12,1,0.0,7.0,58.333333333333336,0.0,1.0,7
AS Roy,23,19,4,2.0,11.5,121.05263157894737,0.0,3.0,13
AT Rayudu,158,115,12,10.0,15.8,137.3913043478261,9.0,10.0,27
AU Rashid,22,17,2,2.0,11.0,129.41176470588235,1.0,2.0,18
Abdul Basith,1,1,1,0.0,1.0,100.0,0.0,0.0,1
Abdul Samad,169,131,8,5.0,33.8,129.00763358778627,11.0,10.0,37
Abhishek Sharma,226,166,11,11.0,20.545454545454547,136.14457831325302,6.0,28.0,67
Abishek Porel,33,31,4,4.0,8.25,106.4516129032258,2.0,1.0,20
Akash Deep,17,8,1,1.0,17.0,212.5,1.0,2.0,17
Aman Hakim Khan,110,106,9,8.0,13.75,103.77358490566037,6.0,7.0,51
Anmolpreet Singh,105,83,4,4.0,26.25,126.50602409638554,2.0,15.0,36
Anuj Rawat,91,72,7,3.0,30.333333333333332,126.38888888888889,4.0,6.0,29
Arjun Tendulkar,13,9,1,1.0,13.0,144.44444444444443,1.0,0.0,13
Arshad Khan,18,15,3,2.0,9.0,120.0,1.0,0.0,15
Arshdeep Singh,2,2,1,0.0,2.0,100.0,0.0,0.0,2
Atharva Taide,186,136,7,6.0,31.0,136.76470588235296,6.0,20.0,66
Avesh Khan,0,1,1,0.0,0.0,0.0,0.0,0.0,0
B Kumar,42,49,5,3.0,14.0,85.71428571428571,0.0,4.0,27
B Sai Sudharsan,362,264,8,6.0,60.333333333333336,137.12121212121212,12.0,33.0,96
BA Stokes,15,15,2,2.0,7.5,100.0,0.0,2.0,8
C Green,452,287,16,10.0,45.2,157.49128919860627,22.0,40.0,100
C Sakariya,4,6,2,1.0,4.0,66.66666666666666,0.0,1.0,4
CJ Jordan,6,13,2,2.0,3.0,46.15384615384615,0.0,0.0,4
CV Varun,1,11,2,0.0,1.0,9.090909090909092,0.0,0.0,1
D Padikkal,261,206,11,11.0,23.727272727272727,126.6990291262136,6.0,31.0,52
