match_id,first_innings,second_innings,inning_3,inning_4,inning_5,inning_6,season,venue,toss_decision,winner
2009_26,149.0,150.0,,,,,2009,New Wanderers Stadium,bat,RCB
2009_27,178.0,100.0,,,,,2009,Buffalo Park,bat,CSK
2009_28,211.0,133.0,,,,,2009,Kingsmead,field,RR
2009_29,154.0,157.0,,,,,2009,Kingsmead,bat,DD
2009_30,145.0,126.0,,,,,2009,SuperSport Park,bat,SRH
2009_31,105.0,107.0,,,,,2009,SuperSport Park,field,RR
2009_32,185.0,174.0,,,,,2009,SuperSport Park,bat,CSK
2009_33,116.0,118.0,,,,,2009,Buffalo Park,bat,DD
2009_34,140.0,141.0,,,,,2009,De Beers Diamond Oval,bat,CSK
2009_35,168.0,169.0,,,,,2009,De Beers Diamond Oval,field,KXIP
2009_36,123.0,125.0,,,,,2009,New Wanderers Stadium,field,DD
2009_37,157.0,141.0,,,,,2009,St George's Park,bat,MI
2009_38,166.0,113.0,,,,,2009,De Beers Diamond Oval,bat,SRH
2009_39,173.0,176.0,,,,,2009,SuperSport Park,field,RCB
2009_40,119.0,122.0,,,,,2009,SuperSport Park,bat,MI
2009_41,173.0,161.0,,,,,2009,Kingsmead,field,DD
2009_42,129.0,132.0,,,,,2009,Kingsmead,bat,RCB
2009_43,145.0,143.0,,,,,2009,Kingsmead,bat,RR
2009_44,120.0,123.0,,,,,2009,OUTsurance Oval,field,KXIP
2009_45,147.0,151.0,,,,,2009,St George's Park,bat,CSK
2009_46,160.0,166.0,,,,,2009,New Wanderers Stadium,field,SRH
2009_47,150.0,136.0,,,,,2009,OUTsurance Oval,bat,DD
2009_48,134.0,133.0,,,,,2009,New Wanderers Stadium,field,KXIP
2009_49,188.0,189.0,,,,,2009,SuperSport Park,bat,KKR
2009_50,134.0,135.0,,,,,2009,New Wanderers Stadium,bat,RCB
2009_51,101.0,102.0,,,,,2009,Kingsmead,field,KKR
2009_52,116.0,92.0,,,,,2009,Kingsmead,bat,CSK
2009_53,170.0,158.0,,,,,2009,SuperSport Park,bat,RCB
2009_54,165.0,166.0,,,,,2009,SuperSport Park,field,DD
2009_55,153.0,154.0,,,,,2009,SuperSport Park,field,SRH
2009_56,146.0,149.0,,,,,2009,New Wanderers Stadium,field,RCB
2009_57,143.0,137.0,,,,,2009,New Wanderers Stadium,field,SRH
2010_01,161.0,150.0,,,,,2010,Dr DY Patil Sports Academy,field,KKR
2010_02,212.0,208.0,,,,,2010,Brabourne Stadium,bat,MI
2010_03,142.0,146.0,,,,,2010,PCA IS Bindra Stadium,field,DD
2010_04,190.0,159.0,,,,,2010,MA Chidambaram Stadium,bat,SRH
2010_05,135.0,136.0,,,,,2010,Eden Gardens,field,KKR
2010_06,141.0,142.0,,,,,2010,Narendra Modi Stadium,field,DD
2010_07,164.0,109.0,,,,,2010,Eden Gardens,bat,CSK
2010_08,203.0,204.0,,,,,2010,M Chinnaswamy Stadium,bat,RCB
2010_09,218.0,120.0,,,,,2010,Arun Jaitley Stadium,field,MI
2010_10,92.0,93.0,,,,,2010,M Chinnaswamy Stadium,field,RCB
2010_11,170.0,164.0,,,,,2010,Barabati Stadium,field,SRH
2010_12,185.0,190.0,,,,,2010,Arun Jaitley Stadium,bat,CSK
2010_13,151.0,155.0,,,,,2010,Brabourne Stadium,bat,RCB
2010_14,168.0,134.0,,,,,2010,Narendra Modi Stadium,bat,RR
2010_15,171.0,161.0,,,,,2010,Barabati Stadium,bat,SRH
2010_16,136.0,136.0,9.0,10.0,,,2010,MA Chidambaram Stadium,field,
2010_17,155.0,156.0,,,,,2010,Brabourne Stadium,bat,MI
2010_18,171.0,135.0,,,,,2010,M Chinnaswamy Stadium,field,RCB
2010_19,183.0,152.0,,,,,2010,PCA IS Bindra Stadium,field,RR
2010_20,180.0,181.0,,,,,2010,Brabourne Stadium,field,MI
2010_21,183.0,166.0,,,,,2010,M Chinnaswamy Stadium,field,DD
2010_22,148.0,151.0,,,,,2010,Narendra Modi Stadium,bat,RR
2010_23,183.0,144.0,,,,,2010,PCA IS Bindra Stadium,bat,KKR
2010_24,172.0,131.0,,,,,2010,Dr DY Patil Sports Academy,field,MI
2010_25,177.0,160.0,,,,,2010,Narendra Modi Stadium,bat,RR
2010_26,177.0,137.0,,,,,2010,Arun Jaitley Stadium,bat,DD
2010_27,163.0,164.0,,,,,2010,Brabourne Stadium,field,MI
2010_28,161.0,162.0,,,,,2010,MA Chidambaram Stadium,bat,CSK
2010_29,188.0,121.0,,,,,2010,Arun Jaitley Stadium,bat,DD
2010_30,181.0,157.0,,,,,2010,Eden Gardens,bat,KKR
2010_31,181.0,184.0,,,,,2010,PCA IS Bindra Stadium,bat,RCB
2010_32,246.0,223.0,,,,,2010,MA Chidambaram Stadium,bat,CSK
2010_33,178.0,115.0,,,,,2010,Brabourne Stadium,bat,MI
2010_34,184.0,147.0,,,,,2010,Arun Jaitley Stadium,bat,DD
2010_35,200.0,204.0,,,,,2010,Eden Gardens,bat,KXIP
2010_36,159.0,157.0,,,,,2010,VCA Stadium,bat,RR
2010_37,165.0,141.0,,,,,2010,MA Chidambaram Stadium,bat,CSK
2010_38,181.0,167.0,,,,,2010,Eden Gardens,bat,KKR
2010_39,153.0,157.0,,,,,2010,Sawai Mansingh Stadium,bat,RR
2010_40,184.0,186.0,,,,,2010,M Chinnaswamy Stadium,field,SRH
2010_41,154.0,158.0,,,,,2010,PCA IS Bindra Stadium,bat,KXIP
2010_42,138.0,139.0,,,,,2010,VCA Stadium,bat,SRH
2010_43,160.0,162.0,,,,,2010,M Chinnaswamy Stadium,field,RCB
2010_44,111.0,112.0,,,,,2010,Arun Jaitley Stadium,bat,KXIP
2010_45,174.0,137.0,,,,,2010,Sawai Mansingh Stadium,field,MI
2010_46,151.0,138.0,,,,,2010,VCA Stadium,field,SRH
2010_47,183.0,144.0,,,,,2010,Brabourne Stadium,bat,MI
2010_48,139.0,143.0,,,,,2010,MA Chidambaram Stadium,bat,CSK
2010_49,130.0,132.0,,,,,2010,Sawai Mansingh Stadium,bat,RCB
2010_50,112.0,113.0,,,,,2010,MA Chidambaram Stadium,bat,DD
2010_51,174.0,178.0,,,,,2010,HPCA Stadium,field,SRH
2010_52,191.0,134.0,,,,,2010,M Chinnaswamy Stadium,field,MI
2010_53,132.0,133.0,,,,,2010,Eden Gardens,bat,KKR
2010_54,145.0,134.0,,,,,2010,Arun Jaitley Stadium,bat,SRH
2010_55,192.0,195.0,,,,,2010,HPCA Stadium,field,CSK
2010_56,133.0,135.0,,,,,2010,Eden Gardens,bat,KKR
2010_57,184.0,149.0,,,,,2010,Dr DY Patil Sports Academy,bat,MI
2010_58,142.0,104.0,,,,,2010,Dr DY Patil Sports Academy,bat,CSK
2010_59,82.0,86.0,,,,,2010,Dr DY Patil Sports Academy,bat,RCB
2010_60,168.0,146.0,,,,,2010,Dr DY Patil Sports Academy,bat,CSK
2011_01,153.0,151.0,,,,,2011,MA Chidambaram Stadium,bat,CSK
2011_02,137.0,141.0,,,,,2011,Rajiv Gandhi Intl. Stadium,field,RR
2011_03,161.0,162.0,,,,,2011,Nehru Stadium,bat,RCB
2011_04,112.0,113.0,,,,,2011,Dr DY Patil Sports Academy,bat,PW
2011_05,95.0,99.0,,,,,2011,Arun Jaitley Stadium,bat,MI
2011_06,163.0,154.0,,,,,2011,Eden Gardens,bat,KKR
2011_07,140.0,143.0,,,,,2011,M Chinnaswamy Stadium,field,MI
2011_08,151.0,152.0,,,,,2011,Sawai Mansingh Stadium,bat,RR
2011_09,188.0,193.0,,,,,2011,PCA IS Bindra Stadium,field,KXIP
2011_10,148.0,151.0,,,,,2011,Dr DY Patil Sports Academy,bat,PW
2011_11,175.0,142.0,,,,,2011,Rajiv Gandhi Intl. Stadium,field,SRH
2011_12,159.0,160.0,,,,,2011,Sawai Mansingh Stadium,field,KKR
2011_13,182.0,184.0,,,,,2011,Wankhede Stadium,field,KTK
2011_14,165.0,166.0,,,,,2011,Rajiv Gandhi Intl. Stadium,field,KXIP
2011_15,183.0,162.0,,,,,2011,MA Chidambaram Stadium,bat,CSK
2011_16,81.0,85.0,,,,,2011,Eden Gardens,field,KKR
2011_17,187.0,190.0,,,,,2011,Dr DY Patil Sports Academy,field,DD
2011_18,131.0,135.0,,,,,2011,Nehru Stadium,field,KTK
2011_19,168.0,152.0,,,,,2011,Arun Jaitley Stadium,bat,SRH
2011_20,132.0,126.0,,,,,2011,Eden Gardens,field,KTK
2011_21,118.0,124.0,,,,,2011,Wankhede Stadium,bat,MI
2011_22,195.0,147.0,,,,,2011,PCA IS Bindra Stadium,field,KXIP
2011_23,171.0,175.0,,,,,2011,Eden Gardens,field,RCB
2011_24,164.0,156.0,,,,,2011,Wankhede Stadium,field,MI
2011_25,231.0,202.0,,,,,2011,Arun Jaitley Stadium,field,DD
2011_26,109.0,111.0,,,,,2011,Sawai Mansingh Stadium,field,RR
2011_27,172.0,135.0,,,,,2011,Rajiv Gandhi Intl. Stadium,field,MI
2011_28,142.0,117.0,,,,,2011,MA Chidambaram Stadium,field,CSK
2011_29,160.0,161.0,,,,,2011,Arun Jaitley Stadium,field,RCB
2011_30,129.0,74.0,,,,,2011,Nehru Stadium,field,SRH
2011_31,141.0,145.0,,,,,2011,Dr DY Patil Sports Academy,bat,CSK
2011_32,148.0,131.0,,,,,2011,Arun Jaitley Stadium,field,KKR
2011_33,181.0,155.0,,,,,2011,M Chinnaswamy Stadium,field,RCB
2011_34,94.0,95.0,,,,,2011,Sawai Mansingh Stadium,field,RR
2011_35,119.0,120.0,,,,,2011,Eden Gardens,field,KKR
2011_36,157.0,119.0,,,,,2011,Nehru Stadium,bat,DD
2011_37,165.0,146.0,,,,,2011,MA Chidambaram Stadium,bat,CSK
2011_38,143.0,144.0,,,,,2011,Sawai Mansingh Stadium,field,RR
2011_39,140.0,141.0,,,,,2011,Arun Jaitley Stadium,field,KTK
2011_40,159.0,136.0,,,,,2011,Wankhede Stadium,field,MI
2011_41,169.0,149.0,,,,,2011,Rajiv Gandhi Intl. Stadium,field,KKR
2011_42,147.0,149.0,,,,,2011,MA Chidambaram Stadium,bat,CSK
2011_43,160.0,139.0,,,,,2011,Dr DY Patil Sports Academy,field,MI
2011_44,156.0,139.0,,,,,2011,Nehru Stadium,field,KTK
2011_45,175.0,179.0,,,,,2011,Rajiv Gandhi Intl. Stadium,field,DD
2011_46,205.0,120.0,,,,,2011,M Chinnaswamy Stadium,field,RCB
2011_47,178.0,146.0,,,,,2011,Wankhede Stadium,field,MI
2011_48,114.0,61.0,,,,,2011,Eden Gardens,bat,KKR
2011_49,119.0,120.0,,,,,2011,PCA IS Bindra Stadium,bat,PW
2011_50,125.0,128.0,,,,,2011,M Chinnaswamy Stadium,bat,RCB
2011_51,196.0,133.0,,,,,2011,Sawai Mansingh Stadium,field,CSK
2011_52,136.0,137.0,,,,,2011,Rajiv Gandhi Intl. Stadium,bat,PW
2011_53,163.0,87.0,,,,,2011,PCA IS Bindra Stadium,field,KXIP
2011_54,146.0,151.0,,,,,2011,Sawai Mansingh Stadium,field,RCB
2011_55,176.0,158.0,,,,,2011,MA Chidambaram Stadium,bat,CSK
2011_56,178.0,181.0,,,,,2011,Holkar Cricket Stadium,field,KXIP
2011_57,89.0,105.0,,,,,2011,M Chinnaswamy Stadium,field,RCB
2011_58,135.0,125.0,,,,,2011,Wankhede Stadium,bat,SRH
2011_59,97.0,98.0,,,,,2011,Holkar Cricket Stadium,field,KTK
2011_60,170.0,141.0,,,,,2011,HPCA Stadium,field,KXIP
2011_61,136.0,138.0,,,,,2011,Dr DY Patil Sports Academy,field,SRH
2011_62,232.0,121.0,,,,,2011,HPCA Stadium,bat,KXIP
2011_63,152.0,141.0,,,,,2011,MA Chidambaram Stadium,bat,CSK
2011_64,118.0,119.0,,,,,2011,Dr DY Patil Sports Academy,field,KKR
2011_65,133.0,134.0,,,,,2011,Wankhede Stadium,bat,RR
2011_66,198.0,116.0,,,,,2011,HPCA Stadium,field,SRH
2011_67,56.0,,,,,,2011,Arun Jaitley Stadium,bat,
2011_68,128.0,129.0,,,,,2011,M Chinnaswamy Stadium,field,RCB
2011_69,175.0,178.0,,,,,2011,Eden Gardens,field,MI
2011_70,175.0,177.0,,,,,2011,Wankhede Stadium,field,CSK
2011_71,147.0,148.0,,,,,2011,Wankhede Stadium,field,MI
2011_72,185.0,142.0,,,,,2011,MA Chidambaram Stadium,field,RCB
2011_73,205.0,147.0,,,,,2011,MA Chidambaram Stadium,bat,CSK
2012_01,112.0,115.0,,,,,2012,MA Chidambaram Stadium,field,MI
2012_02,97.0,100.0,,,,,2012,Eden Gardens,field,DD
2012_03,191.0,160.0,,,,,2012,Sawai Mansingh Stadium,field,RR
2012_04,129.0,101.0,,,,,2012,Wankhede Stadium,field,PW
2012_05,193.0,119.0,,,,,2012,ACA-VDCA Stadium,field,CSK
2012_06,157.0,137.0,,,,,2012,M Chinnaswamy Stadium,field,RCB
2012_07,166.0,144.0,,,,,2012,Subrata Roy Sahara Stadium,bat,PW
2012_08,164.0,142.0,,,,,2012,Sawai Mansingh Stadium,field,RR
2012_09,138.0,142.0,,,,,2012,ACA-VDCA Stadium,bat,MI
2012_10,165.0,123.0,,,,,2012,M Chinnaswamy Stadium,field,KKR
2012_11,110.0,111.0,,,,,2012,Arun Jaitley Stadium,field,DD
2012_12,197.0,170.0,,,,,2012,Wankhede Stadium,field,MI
2012_13,115.0,116.0,,,,,2012,PCA IS Bindra Stadium,field,KXIP
2012_14,205.0,208.0,,,,,2012,MA Chidambaram Stadium,bat,CSK
2012_15,131.0,137.0,,,,,2012,Eden Gardens,bat,KKR
2012_16,155.0,156.0,,,,,2012,Subrata Roy Sahara Stadium,bat,PW
2012_17,195.0,136.0,,,,,2012,M Chinnaswamy Stadium,bat,RR
2012_18,134.0,132.0,,,,,2012,Eden Gardens,field,KXIP
2012_19,92.0,93.0,,,,,2012,Wankhede Stadium,field,DD
2012_20,182.0,186.0,,,,,2012,M Chinnaswamy Stadium,bat,RCB
2012_21,196.0,197.0,,,,,2012,Sawai Mansingh Stadium,bat,RR
2012_22,124.0,127.0,,,,,2012,PCA IS Bindra Stadium,bat,KKR
2012_23,157.0,162.0,,,,,2012,Arun Jaitley Stadium,bat,DD
2012_24,164.0,151.0,,,,,2012,MA Chidambaram Stadium,field,CSK
2012_25,163.0,166.0,,,,,2012,PCA IS Bindra Stadium,field,RCB
2012_26,192.0,172.0,,,,,2012,Arun Jaitley Stadium,field,PW
2012_27,146.0,147.0,,,,,2012,MA Chidambaram Stadium,bat,CSK
2012_28,163.0,164.0,,,,,2012,Wankhede Stadium,bat,KXIP
2012_29,126.0,127.0,,,,,2012,Barabati Stadium,field,KKR
2012_30,189.0,143.0,,,,,2012,Sawai Mansingh Stadium,field,RCB
2012_31,146.0,148.0,,,,,2012,Subrata Roy Sahara Stadium,bat,DD
2012_32,168.0,171.0,,,,,2012,PCA IS Bindra Stadium,bat,MI
2012_33,177.0,159.0,,,,,2012,Subrata Roy Sahara Stadium,bat,SRH
2012_34,207.0,170.0,,,,,2012,Arun Jaitley Stadium,field,DD
2012_35,190.0,143.0,,,,,2012,Eden Gardens,bat,KKR
2012_36,156.0,149.0,,,,,2012,MA Chidambaram Stadium,bat,KXIP
2012_37,100.0,101.0,,,,,2012,Wankhede Stadium,field,MI
2012_38,152.0,151.0,,,,,2012,Arun Jaitley Stadium,bat,DD
2012_39,139.0,140.0,,,,,2012,MA Chidambaram Stadium,bat,KKR
2012_40,186.0,173.0,,,,,2012,Barabati Stadium,bat,SRH
2012_41,141.0,144.0,,,,,2012,Sawai Mansingh Stadium,bat,DD
2012_42,158.0,163.0,,,,,2012,M Chinnaswamy Stadium,field,KXIP
2012_43,120.0,119.0,,,,,2012,Subrata Roy Sahara Stadium,bat,MI
2012_44,160.0,150.0,,,,,2012,MA Chidambaram Stadium,bat,CSK
2012_45,150.0,143.0,,,,,2012,Eden Gardens,bat,KKR
2012_46,177.0,134.0,,,,,2012,PCA IS Bindra Stadium,bat,RR
2012_47,181.0,185.0,,,,,2012,M Chinnaswamy Stadium,field,RCB
2012_48,173.0,174.0,,,,,2012,Wankhede Stadium,field,MI
2012_49,153.0,154.0,,,,,2012,Arun Jaitley Stadium,bat,KKR
2012_50,125.0,126.0,,,,,2012,Subrata Roy Sahara Stadium,bat,RR
2012_51,170.0,145.0,,,,,2012,Rajiv Gandhi Intl. Stadium,field,KXIP
2012_52,141.0,142.0,,,,,2012,Wankhede Stadium,field,RCB
2012_53,187.0,193.0,,,,,2012,Rajiv Gandhi Intl. Stadium,bat,DD
2012_54,126.0,127.0,,,,,2012,Sawai Mansingh Stadium,field,CSK
2012_55,173.0,138.0,,,,,2012,Subrata Roy Sahara Stadium,field,RCB
2012_56,182.0,155.0,,,,,2012,Eden Gardens,bat,MI
2012_57,114.0,115.0,,,,,2012,MA Chidambaram Stadium,field,CSK
2012_58,170.0,125.0,,,,,2012,Sawai Mansingh Stadium,bat,RR
2012_59,190.0,194.0,,,,,2012,PCA IS Bindra Stadium,bat,KXIP
2012_60,158.0,160.0,,,,,2012,Eden Gardens,field,CSK
2012_61,171.0,173.0,,,,,2012,M Chinnaswamy Stadium,field,MI
2012_62,136.0,140.0,,,,,2012,Arun Jaitley Stadium,bat,DD
2012_63,140.0,108.0,,,,,2012,Wankhede Stadium,field,KKR
2012_64,215.0,194.0,,,,,2012,Arun Jaitley Stadium,field,RCB
2012_65,120.0,123.0,,,,,2012,HPCA Stadium,field,KXIP
2012_66,126.0,128.0,,,,,2012,Rajiv Gandhi Intl. Stadium,bat,SRH
2012_67,141.0,145.0,,,,,2012,HPCA Stadium,field,DD
2012_68,136.0,102.0,,,,,2012,Subrata Roy Sahara Stadium,bat,KKR
2012_69,132.0,123.0,,,,,2012,Rajiv Gandhi Intl. Stadium,field,SRH
2012_70,162.0,163.0,,,,,2012,Sawai Mansingh Stadium,bat,MI
2012_71,162.0,144.0,,,,,2012,Subrata Roy Sahara Stadium,bat,KKR
2012_72,187.0,149.0,,,,,2012,M Chinnaswamy Stadium,field,CSK
2012_73,222.0,136.0,,,,,2012,MA Chidambaram Stadium,field,CSK
2012_74,190.0,192.0,,,,,2012,MA Chidambaram Stadium,bat,KKR
2013_01,128.0,129.0,,,,,2013,Eden Gardens,field,KKR
2013_02,156.0,154.0,,,,,2013,M Chinnaswamy Stadium,field,RCB
