batter,runs,balls,matches,dismissals,average,strike_rate,sixes,fours,highest_score
A Nortje,7,6,3,1.0,7.0,116.66666666666667,0.0,0.0,3
AB de Villiers,460,296,14,10.0,46.0,155.4054054054054,23.0,34.0,73
AD Russell,117,82,9,9.0,13.0,142.6829268292683,9.0,9.0,25
AJ Finch,268,254,12,12.0,22.333333333333332,105.51181102362204,8.0,28.0,52
AJ Tye,6,7,1,1.0,6.0,85.71428571428571,1.0,0.0,6
AM Rahane,113,113,8,8.0,14.125,100.0,2.0,12.0,60
AR Patel,117,90,9,8.0,14.625,130.0,8.0,6.0,42
AS Rajpoot,9,10,2,1.0,9.0,90.0,1.0,0.0,7
AT Carey,32,29,3,2.0,16.0,110.34482758620689,1.0,0.0,14
AT Rayudu,359,289,11,9.0,39.888888888888886,124.22145328719722,12.0,30.0,71
Abdul Samad,113,68,7,6.0,18.833333333333332,166.1764705882353,6.0,8.0,33
Abhishek Sharma,71,59,7,5.0,14.2,120.33898305084745,3.0,6.0,31
Arshdeep Singh,0,3,1,1.0,0.0,0.0,0.0,0.0,0
B Kumar,0,2,1,1.0,0.0,0.0,0.0,0.0,0
BA Stokes,285,207,8,8.0,35.625,137.68115942028984,7.0,36.0,107
CH Gayle,295,225,7,6.0,49.166666666666664,131.11111111111111,24.0,15.0,99
CH Morris,34,21,5,4.0,8.5,161.9047619047619,3.0,2.0,25
CJ Jordan,29,33,4,3.0,9.666666666666666,87.87878787878788,0.0,2.0,13
CV Varun,10,16,3,2.0,5.0,62.5,0.0,0.0,7
D Padikkal,473,398,15,14.0,33.785714285714285,118.84422110552764,8.0,51.0,74
DA Warner,548,423,16,14.0,39.142857142857146,129.55082742316785,14.0,52.0,85
DJ Bravo,7,6,2,2.0,3.5,116.66666666666667,0.0,0.0,7
DJ Hooda,102,74,5,1.0,102.0,137.83783783783784,5.0,5.0,62
DL Chahar,7,12,3,1.0,7.0,58.333333333333336,0.0,0.0,5
DR Sams,0,2,1,1.0,0.0,0.0,0.0,0.0,0
DS Kulkarni,3,2,1,0.0,3.0,150.0,0.0,0.0,3
DW Steyn,1,2,1,0.0,1.0,50.0,0.0,0.0,1
EJG Morgan,419,314,14,11.0,38.09090909090909,133.4394904458599,24.0,32.0,68
F du Plessis,449,329,13,11.0,40.81818181818182,136.4741641337386,14.0,42.0,87
GJ Maxwell,108,112,11,7.0,15.428571428571429,96.42857142857143,0.0,9.0,32
Gurkeerat Singh,71,83,5,1.0,71.0,85.54216867469879,0.0,8.0,21
HH Pandya,283,167,13,8.0,35.375,169.46107784431138,25.0,14.0,60
HV Patel,21,25,2,2.0,10.5,84.0,0.0,2.0,16
I Udana,15,11,4,3.0,5.0,136.36363636363635,1.0,1.0,10
Imran Tahir,13,10,1,0.0,13.0,130.0,0.0,2.0,13
Ishan Kishan,516,361,13,9.0,57.333333333333336,142.93628808864264,30.0,36.0,99
JC Archer,113,66,10,6.0,18.833333333333332,171.21212121212122,10.0,5.0,27
JC Buttler,328,233,12,11.0,29.818181818181817,140.7725321888412,16.0,27.0,70
JD Unadkat,9,13,1,1.0,9.0,69.23076923076923,0.0,0.0,9
JDS Neesham,19,18,3,2.0,9.5,105.55555555555556,1.0,0.0,10
JJ Bumrah,5,3,1,0.0,5.0,166.66666666666669,0.0,0.0,5
JL Pattinson,15,13,2,1.0,15.0,115.38461538461537,0.0,2.0,11
JM Bairstow,345,284,11,12.0,28.75,121.47887323943662,13.0,31.0,97
JO Holder,66,54,4,2.0,33.0,122.22222222222223,3.0,5.0,26
