type,description,winner,margin
Highest Scoring Match,CSK vs RCB,CSK,413 runs total
Closest Run Victory,DD vs RR,DD,1 runs
Closest Wicket Victory,MI vs CSK,MI,2 wickets
Most Sixes in a Match,CSK vs RCB,CSK,23 sixes
