bowler,runs,balls,matches,wickets,overs,economy,average,strike_rate
A Badoni,12,12,2,2.0,2.0,6.0,6.0,6.0
A Nortje,219,143,6,9.0,23.833333333333332,9.18881118881119,24.333333333333332,15.88888888888889
AD Russell,282,176,13,21.0,29.333333333333332,9.613636363636363,13.428571428571429,8.380952380952381
AF Milne,19,15,1,0.0,2.5,7.6,inf,inf
AJ Tye,113,69,3,3.0,11.5,9.826086956521738,37.666666666666664,23.0
AK Markram,64,36,4,1.0,6.0,10.666666666666666,64.0,36.0
AR Patel,323,261,13,6.0,43.5,7.425287356321839,53.833333333333336,43.5
AS Joseph,269,185,9,8.0,30.833333333333332,8.724324324324325,33.625,23.125
AS Roy,55,42,2,1.0,7.0,7.857142857142857,55.0,42.0
Abdul Samad,8,6,1,0.0,1.0,8.0,inf,inf
Abhishek Sharma,39,24,3,0.0,4.0,9.75,inf,inf
Akash Deep,206,119,5,6.0,19.833333333333332,10.38655462184874,34.333333333333336,19.833333333333332
Aman Hakim Khan,13,6,1,0.0,1.0,13.0,inf,inf
Arshdeep Singh,402,317,14,12.0,52.833333333333336,7.608832807570978,33.5,26.416666666666668
Avesh Khan,423,300,13,19.0,50.0,8.46,22.263157894736842,15.789473684210526
B Kumar,394,330,14,13.0,55.0,7.163636363636364,30.307692307692307,25.384615384615383
Basil Thampi,158,102,5,5.0,17.0,9.294117647058824,31.6,20.4
C Sakariya,87,71,3,3.0,11.833333333333334,7.352112676056338,29.0,23.666666666666668
CJ Jordan,136,80,4,3.0,13.333333333333334,10.2,45.333333333333336,26.666666666666668
CV Varun,338,245,11,6.0,40.833333333333336,8.277551020408163,56.333333333333336,40.833333333333336
D Brevis,8,3,1,1.0,0.5,16.0,8.0,3.0
D Pretorius,213,138,6,7.0,23.0,9.26086956521739,30.428571428571427,19.714285714285715
DG Nalkande,59,33,2,2.0,5.5,10.727272727272727,29.5,16.5
DJ Bravo,303,229,10,17.0,38.166666666666664,7.938864628820961,17.823529411764707,13.470588235294118
DJ Hooda,43,24,2,1.0,4.0,10.75,43.0,24.0
DJ Mitchell,27,13,2,0.0,2.1666666666666665,12.461538461538462,inf,inf
DJ Willey,75,66,4,1.0,11.0,6.818181818181818,75.0,66.0
DR Sams,375,274,11,14.0,45.666666666666664,8.211678832116789,26.785714285714285,19.571428571428573
FA Allen,46,24,1,1.0,4.0,11.5,46.0,24.0
Fazalhaq Farooqi,110,76,3,2.0,12.666666666666666,8.68421052631579,55.0,38.0
GJ Maxwell,166,146,10,8.0,24.333333333333332,6.821917808219179,20.75,18.25
HH Pandya,226,189,10,8.0,31.5,7.174603174603175,28.25,23.625
HR Shokeen,130,94,5,2.0,15.666666666666666,8.297872340425533,65.0,47.0
HV Patel,421,338,15,21.0,56.333333333333336,7.4733727810650885,20.047619047619047,16.095238095238095
Harpreet Brar,148,100,5,4.0,16.666666666666668,8.879999999999999,37.0,25.0
Harshit Rana,52,31,2,1.0,5.166666666666667,10.064516129032258,52.0,31.0
J Suchith,141,115,5,7.0,19.166666666666668,7.356521739130434,20.142857142857142,16.428571428571427
JD Unadkat,191,123,5,7.0,20.5,9.317073170731707,27.285714285714285,17.571428571428573
JDS Neesham,29,18,1,0.0,3.0,9.666666666666666,inf,inf
JJ Bumrah,392,327,14,16.0,54.5,7.192660550458716,24.5,20.4375
JO Holder,399,266,12,16.0,44.333333333333336,9.0,24.9375,16.625
JR Hazlewood,380,289,12,21.0,48.166666666666664,7.889273356401384,18.095238095238095,13.761904761904763
K Gowtham,101,72,4,5.0,12.0,8.416666666666666,20.2,14.4
K Kartikeya,103,78,4,5.0,13.0,7.923076923076923,20.6,15.6
K Rabada,414,303,13,23.0,50.5,8.198019801980198,18.0,13.173913043478262
KA Pollard,130,87,6,4.0,14.5,8.96551724137931,32.5,21.75
KH Pandya,269,232,12,11.0,38.666666666666664,6.956896551724139,24.454545454545453,21.09090909090909
KK Ahmed,315,242,10,16.0,40.333333333333336,7.8099173553719,19.6875,15.125
KL Nagarkoti,29,13,1,0.0,2.1666666666666665,13.384615384615385,inf,inf
KR Sen,240,157,7,8.0,26.166666666666668,9.171974522292993,30.0,19.625
Kartik Tyagi,79,54,2,1.0,9.0,8.777777777777779,79.0,54.0
Kuldeep Yadav,420,306,14,21.0,51.0,8.235294117647058,20.0,14.571428571428571
LH Ferguson,433,298,13,16.0,49.666666666666664,8.718120805369129,27.0625,18.625
LS Livingstone,202,144,12,6.0,24.0,8.416666666666666,33.666666666666664,24.0
