,matches,wins,losses,points,nrr,runs,wickets
KKR,14,11,3,22,0.0,0,0
RR,15,9,6,18,0.0,0,0
SRH,16,9,7,18,0.0,0,0
RCB,15,7,8,14,0.0,0,0
DC,14,7,7,14,0.0,0,0
CSK,14,7,7,14,0.0,0,0
LSG,14,7,7,14,0.0,0,0
GT,12,5,7,10,0.0,0,0
PBKS,14,5,9,10,0.0,0,0
MI,14,4,10,8,0.0,0,0
