type,description,winner,margin
Highest Scoring Match,KKR vs MI,KKR,430 runs total
Closest Run Victory,RCB vs CSK,RCB,1 runs
Closest Wicket Victory,SRH vs DC,DC,2 wickets
Most Sixes in a Match,KKR vs MI,KKR,29 sixes
