type,description,winner,margin
Highest Scoring Match,RCB vs PW,RCB,396 runs total
Closest Run Victory,RCB vs MI,RCB,2 runs
Closest Wicket Victory,DD vs SRH,SRH,3 wickets
Most Sixes in a Match,RCB vs PW,RCB,24 sixes
