type,description,winner,margin
Highest Scoring Match,CSK vs KXIP,KXIP,428 runs total
Closest Run Victory,RCB vs KKR,KKR,2 runs
Closest Wicket Victory,KKR vs KXIP,KKR,3 wickets
Most Sixes in a Match,SRH vs KXIP,KXIP,24 sixes
