,runs,wickets,batting_sr,bowling_economy
RA Jadeja,146.0,20.0,129.20353982300884,8.06024096385542
Shakib Al Hasan,229.0,15.0,143.125,6.625407166123779
SR Watson,246.0,7.0,120.0,7.567164179104478
JP Faulkner,181.0,17.0,182.82828282828282,9.690647482014388
Yuvraj Singh,376.0,6.0,130.55555555555557,8.185714285714287
