type,description,winner,margin
Highest Scoring Match,KKR vs KXIP,KKR,459 runs total
Closest Run Victory,MI vs KXIP,MI,3 runs
Closest Wicket Victory,MI vs CSK,CSK,1 wickets
Most Sixes in a Match,RCB vs CSK,CSK,33 sixes
