,runs,wickets,batting_sr,bowling_economy
BJ Hodge,365.0,7.0,115.14195583596214,8.146341463414634
A Symonds,249.0,9.0,145.61403508771932,6.612244897959184
RA Jadeja,295.0,6.0,106.8840579710145,6.5
SK Warne,108.0,14.0,91.52542372881356,7.073482428115017
RE van der Merwe,122.0,9.0,120.79207920792079,7.55023923444976
DJ Bravo,218.0,14.0,103.3175355450237,7.535545023696683
JH Kallis,361.0,7.0,103.43839541547277,7.515570934256056
SK Raina,434.0,8.0,136.47798742138363,6.07185628742515
RG Sharma,362.0,12.0,112.07430340557276,6.985714285714286
YK Pathan,261.0,7.0,135.9375,6.733031674208144
ST Jayasuriya,221.0,8.0,107.8048780487805,8.319327731092438
TL Suman,237.0,6.0,122.79792746113989,7.120879120879121
IK Pathan,196.0,20.0,119.51219512195121,7.6050955414012735
Yuvraj Singh,340.0,6.0,107.25552050473186,7.041322314049586
