,matches,wins,losses,points,nrr,runs,wickets
CSK,16,11,5,22,0.0,0,0
RCB,16,10,6,20,0.0,0,0
MI,16,10,6,20,0.0,0,0
KKR,15,8,7,16,0.0,0,0
KXIP,14,7,7,14,0.0,0,0
SRH,14,6,8,12,0.0,0,0
KTK,14,6,8,12,0.0,0,0
RR,13,6,7,12,0.0,0,0
PW,14,4,9,8,0.0,0,0
DD,14,4,9,8,0.0,0,0
