batter,runs,balls,matches,dismissals,average,strike_rate,sixes,fours,highest_score
A Chopra,42,55,5,4.0,10.5,76.36363636363637,0.0,5.0,24
A Kumble,13,17,4,1.0,13.0,76.47058823529412,0.0,1.0,8
A Mishra,37,42,3,4.0,9.25,88.09523809523809,0.0,3.0,31
A Mukund,0,1,1,1.0,0.0,0.0,0.0,0.0,0
A Nehra,3,13,3,0.0,3.0,23.076923076923077,0.0,0.0,2
A Symonds,161,111,3,2.0,80.5,145.04504504504504,9.0,15.0,117
AA Noffke,9,12,1,1.0,9.0,75.0,0.0,1.0,9
AB Agarkar,54,49,6,4.0,13.5,110.20408163265304,2.0,5.0,20
AB Dinda,2,4,2,1.0,2.0,50.0,0.0,0.0,1
AB de Villiers,95,100,6,4.0,23.75,95.0,1.0,5.0,26
AC Gilchrist,436,328,14,13.0,33.53846153846154,132.9268292682927,19.0,51.0,109
AD Mascarenhas,9,8,1,1.0,9.0,112.5,1.0,0.0,9
AM Nayar,206,142,10,8.0,25.75,145.07042253521126,9.0,16.0,45
AM Rahane,4,19,2,2.0,2.0,21.052631578947366,0.0,1.0,4
AS Yadav,49,40,6,7.0,7.0,122.50000000000001,2.0,5.0,16
Abdur Razzak,0,2,1,0.0,0.0,0.0,0.0,0.0,0
B Akhil,46,32,7,3.0,15.333333333333334,143.75,3.0,4.0,27
B Chipli,20,30,3,3.0,6.666666666666667,66.66666666666666,0.0,3.0,10
B Lee,17,14,3,2.0,8.5,121.42857142857142,1.0,2.0,16
BB McCullum,188,96,4,3.0,62.666666666666664,195.83333333333331,15.0,13.0,158
BJ Hodge,12,18,3,2.0,6.0,66.66666666666666,0.0,2.0,10
CK Kapugedera,16,24,3,3.0,5.333333333333333,66.66666666666666,0.0,0.0,8
CL White,114,105,8,5.0,22.8,108.57142857142857,4.0,8.0,31
CRD Fernando,2,1,1,1.0,2.0,200.0,0.0,0.0,2
D Kalyankrishna,3,8,1,1.0,3.0,37.5,0.0,0.0,3
D Salunkhe,33,24,3,1.0,33.0,137.5,0.0,5.0,26
DB Das,103,95,6,6.0,17.166666666666668,108.42105263157895,5.0,9.0,31
DB Ravi Teja,109,85,6,6.0,18.166666666666668,128.23529411764707,5.0,10.0,40
DJ Bravo,178,137,7,6.0,29.666666666666668,129.92700729927006,5.0,19.0,64
DJ Hussey,319,267,13,11.0,29.0,119.47565543071161,17.0,19.0,71
DJ Thornely,39,54,4,3.0,13.0,72.22222222222221,2.0,2.0,30
DNT Zoysa,11,9,2,1.0,11.0,122.22222222222223,0.0,1.0,10
DP Vijaykumar,1,1,1,0.0,1.0,100.0,0.0,0.0,1
DPMD Jayawardene,179,138,12,9.0,19.88888888888889,129.71014492753622,7.0,15.0,45
DR Smith,45,41,3,2.0,22.5,109.75609756097562,1.0,5.0,20
DS Kulkarni,2,17,1,0.0,2.0,11.76470588235294,0.0,0.0,2
DS Lehmann,18,19,2,2.0,9.0,94.73684210526315,0.0,3.0,17
DT Patil,13,13,2,1.0,13.0,100.0,0.0,1.0,9
DW Steyn,2,5,2,2.0,1.0,40.0,0.0,0.0,1
G Gambhir,534,394,14,14.0,38.142857142857146,135.53299492385787,8.0,68.0,86
GC Smith,441,375,11,12.0,36.75,117.6,8.0,54.0,91
GD McGrath,4,5,2,1.0,4.0,80.0,0.0,1.0,4
H Das,2,5,1,1.0,2.0,40.0,0.0,0.0,2
HH Gibbs,167,159,9,9.0,18.555555555555557,105.0314465408805,8.0,17.0,47
Harbhajan Singh,30,17,3,2.0,15.0,176.47058823529412,3.0,1.0,28
I Sharma,11,11,5,1.0,11.0,100.0,0.0,1.0,4
