batter,runs,balls,matches,dismissals,average,strike_rate,sixes,fours,highest_score
A Ashish Reddy,125,90,10,6.0,20.833333333333332,138.88888888888889,5.0,8.0,36
A Chandila,4,6,1,0.0,4.0,66.66666666666666,0.0,0.0,4
A Mishra,89,103,6,3.0,29.666666666666668,86.40776699029125,0.0,9.0,30
A Mithun,2,2,1,1.0,2.0,100.0,0.0,0.0,2
A Mukund,19,22,1,1.0,19.0,86.36363636363636,0.0,1.0,19
A Nehra,1,8,4,4.0,0.25,12.5,0.0,0.0,1
AB Agarkar,12,16,2,1.0,12.0,75.0,0.0,0.0,9
AB Dinda,9,11,5,2.0,4.5,81.81818181818183,0.0,1.0,6
AB McDonald,0,2,1,1.0,0.0,0.0,0.0,0.0,0
AB de Villiers,373,226,14,10.0,37.3,165.04424778761063,17.0,34.0,64
AC Gilchrist,294,234,13,12.0,24.5,125.64102564102564,6.0,41.0,85
AD Mascarenhas,5,5,1,0.0,5.0,100.0,0.0,0.0,5
AD Mathews,172,141,10,8.0,21.5,121.98581560283688,10.0,5.0,40
AD Russell,11,15,2,2.0,5.5,73.33333333333333,0.0,0.0,7
AG Murtaza,5,4,1,1.0,5.0,125.0,0.0,1.0,5
AJ Finch,456,344,14,14.0,32.57142857142857,132.5581395348837,16.0,54.0,67
AL Menaria,1,2,1,1.0,1.0,50.0,0.0,0.0,1
AM Nayar,66,74,9,7.0,9.428571428571429,89.1891891891892,0.0,5.0,25
AM Rahane,488,472,18,15.0,32.53333333333333,103.38983050847457,11.0,42.0,68
AP Tare,123,84,5,5.0,24.6,146.42857142857142,5.0,14.0,59
AS Rajpoot,2,6,1,0.0,2.0,33.33333333333333,0.0,0.0,2
AT Rayudu,265,235,15,13.0,20.384615384615383,112.7659574468085,4.0,22.0,37
Azhar Mahmood,196,158,10,10.0,19.6,124.0506329113924,5.0,22.0,80
B Chipli,16,19,1,1.0,16.0,84.21052631578947,1.0,1.0,16
B Kumar,52,72,9,7.0,7.428571428571429,72.22222222222221,1.0,3.0,24
B Laughlin,4,9,2,1.0,4.0,44.44444444444444,0.0,0.0,4
B Lee,21,12,2,1.0,21.0,175.0,2.0,1.0,16
BAW Mendis,2,4,1,1.0,2.0,50.0,0.0,0.0,2
BB McCullum,6,7,1,1.0,6.0,85.71428571428571,0.0,1.0,6
BB Samantray,123,114,7,5.0,24.6,107.89473684210526,2.0,13.0,55
BJ Hodge,293,224,14,8.0,36.625,130.80357142857142,9.0,27.0,54
BJ Rohrer,193,146,8,7.0,27.571428571428573,132.1917808219178,5.0,21.0,64
BMAJ Mendis,23,27,3,3.0,7.666666666666667,85.18518518518519,0.0,0.0,12
CA Pujara,92,100,4,4.0,23.0,92.0,0.0,14.0,51
CH Gayle,720,484,16,12.0,60.0,148.7603305785124,52.0,57.0,175
CH Morris,14,17,6,2.0,7.0,82.35294117647058,0.0,0.0,7
CL White,226,200,13,12.0,18.833333333333332,112.99999999999999,9.0,18.0,52
CM Gautam,44,37,3,2.0,22.0,118.91891891891892,1.0,4.0,30
DA Miller,418,257,12,8.0,52.25,162.64591439688715,24.0,28.0,101
DA Warner,410,333,16,14.0,29.285714285714285,123.12312312312312,14.0,41.0,77
DB Das,75,76,6,5.0,15.0,98.68421052631578,5.0,5.0,23
DB Ravi Teja,14,18,2,1.0,14.0,77.77777777777779,0.0,0.0,10
DH Yagnik,125,99,9,7.0,17.857142857142858,126.26262626262626,2.0,17.0,34
DJ Bravo,121,112,12,8.0,15.125,108.03571428571428,3.0,11.0,23
DJ Hussey,235,210,11,11.0,21.363636363636363,111.90476190476191,6.0,20.0,41
DJG Sammy,174,136,9,6.0,29.0,127.94117647058823,10.0,11.0,60
DPMD Jayawardene,331,322,15,14.0,23.642857142857142,102.79503105590062,6.0,39.0,66
DR Smith,418,351,13,13.0,32.15384615384615,119.0883190883191,19.0,40.0,68
DT Christian,6,16,2,2.0,3.0,37.5,0.0,0.0,4
DW Steyn,53,37,8,2.0,26.5,143.24324324324326,2.0,5.0,18
EJG Morgan,307,250,13,10.0,30.7,122.8,13.0,28.0,51
G Gambhir,406,354,15,15.0,27.066666666666666,114.68926553672316,5.0,51.0,60
GH Vihari,241,287,17,14.0,17.214285714285715,83.97212543554006,1.0,17.0,46
GJ Maxwell,36,27,3,2.0,18.0,133.33333333333331,4.0,1.0,23
Gurkeerat Singh,108,98,9,9.0,12.0,110.20408163265304,3.0,10.0,31
Harbhajan Singh,116,82,13,5.0,23.2,141.46341463414635,5.0,12.0,25
Harmeet Singh,3,4,1,0.0,3.0,75.0,0.0,0.0,3
IC Pandey,0,2,1,1.0,0.0,0.0,0.0,0.0,0
IK Pathan,153,159,13,8.0,19.125,96.22641509433963,4.0,10.0,30
Iqbal Abdulla,8,14,2,0.0,8.0,57.14285714285714,0.0,0.0,6
J Botha,43,52,6,6.0,7.166666666666667,82.6923076923077,1.0,5.0,23
