batter,runs,balls,matches,dismissals,average,strike_rate,sixes,fours,highest_score
A Mishra,68,52,9,6.0,11.333333333333334,130.76923076923077,1.0,9.0,25
A Mithun,27,20,4,3.0,9.0,135.0,1.0,3.0,11
A Singh,1,4,2,2.0,0.5,25.0,0.0,0.0,1
A Symonds,135,143,9,3.0,45.0,94.4055944055944,3.0,9.0,44
AA Chavan,1,3,1,0.0,1.0,33.33333333333333,0.0,0.0,1
AA Jhunjhunwala,10,19,2,2.0,5.0,52.63157894736842,0.0,2.0,10
AB Agarkar,7,7,1,0.0,7.0,100.0,0.0,1.0,7
AB Dinda,0,5,1,1.0,0.0,0.0,0.0,0.0,0
AB McDonald,8,7,1,1.0,8.0,114.28571428571428,0.0,0.0,8
AB de Villiers,312,248,13,8.0,39.0,125.80645161290323,14.0,21.0,65
AC Blizzard,120,88,6,6.0,20.0,136.36363636363635,2.0,21.0,51
AC Gilchrist,383,309,14,14.0,27.357142857142858,123.94822006472492,18.0,41.0,106
AC Thomas,1,4,2,0.0,1.0,25.0,0.0,0.0,1
AG Murtaza,2,5,1,0.0,2.0,40.0,0.0,0.0,2
AG Paunikar,49,60,4,4.0,12.25,81.66666666666667,0.0,9.0,20
AJ Finch,47,51,6,7.0,6.714285714285714,92.15686274509804,3.0,3.0,25
AL Menaria,180,158,10,10.0,18.0,113.9240506329114,10.0,10.0,34
AM Nayar,61,67,9,6.0,10.166666666666666,91.04477611940298,0.0,9.0,17
AM Rahane,120,99,7,5.0,24.0,121.21212121212122,2.0,12.0,52
AN Ahmed,18,13,1,0.0,18.0,138.46153846153845,1.0,1.0,18
AS Raut,60,59,4,4.0,15.0,101.69491525423729,1.0,5.0,25
AT Rayudu,395,355,16,14.0,28.214285714285715,111.26760563380283,9.0,44.0,63
AUK Pathan,33,18,5,4.0,8.25,183.33333333333331,2.0,5.0,14
B Akhil,13,9,1,1.0,13.0,144.44444444444443,1.0,0.0,13
B Chipli,207,172,13,9.0,23.0,120.34883720930232,4.0,21.0,61
B Kumar,1,1,1,0.0,1.0,100.0,0.0,0.0,1
B Lee,5,9,4,2.0,2.5,55.55555555555556,0.0,0.0,2
BA Bhatt,0,5,1,0.0,0.0,0.0,0.0,0.0,0
BB McCullum,357,292,13,13.0,27.46153846153846,122.26027397260273,16.0,35.0,81
BJ Haddin,18,11,1,1.0,18.0,163.63636363636365,1.0,2.0,18
BJ Hodge,285,245,14,11.0,25.90909090909091,116.3265306122449,9.0,26.0,51
Bipul Sharma,23,18,3,1.0,23.0,127.77777777777777,0.0,1.0,16
CA Ingram,21,26,3,2.0,10.5,80.76923076923077,0.0,2.0,13
CA Pujara,34,32,3,3.0,11.333333333333334,106.25,0.0,4.0,25
CH Gayle,608,342,12,9.0,67.55555555555556,177.77777777777777,44.0,57.0,107
CJ Ferguson,48,56,4,2.0,24.0,85.71428571428571,0.0,6.0,16
CK Langeveldt,8,8,1,1.0,8.0,100.0,1.0,0.0,8
CL White,104,109,6,4.0,26.0,95.41284403669725,2.0,6.0,31
DA Warner,324,281,13,13.0,24.923076923076923,115.30249110320285,11.0,34.0,77
DB Ravi Teja,183,147,9,7.0,26.142857142857142,124.48979591836735,4.0,17.0,60
DE Bollinger,0,1,1,0.0,0.0,0.0,0.0,0.0,0
DH Yagnik,16,23,4,1.0,16.0,69.56521739130434,0.0,1.0,10
DJ Bravo,11,6,2,1.0,11.0,183.33333333333331,1.0,1.0,6
