type,description,winner,margin
Highest Scoring Match,PBKS vs RR,PBKS,438 runs total
Closest Run Victory,RCB vs DC,RCB,1 runs
Closest Wicket Victory,MI vs RCB,RCB,2 wickets
Most Sixes in a Match,CSK vs MI,MI,30 sixes
