,matches,wins,losses,points,nrr,runs,wickets
RR,16,13,3,26,0.0,0,0
KXIP,15,10,5,20,0.0,0,0
CSK,16,9,7,18,0.0,0,0
DD,14,7,7,14,0.0,0,0
MI,14,7,7,14,0.0,0,0
KKR,13,6,7,12,0.0,0,0
RCB,14,4,10,8,0.0,0,0
SRH,14,2,12,4,0.0,0,0
