,matches,wins,losses,points,nrr,runs,wickets
GT,17,11,6,22,0.0,0,0
CSK,16,10,5,20,0.0,0,0
MI,16,9,7,18,0.0,0,0
LSG,15,8,6,16,0.0,0,0
RR,14,7,7,14,0.0,0,0
RCB,14,7,7,14,0.0,0,0
PBKS,14,6,8,12,0.0,0,0
KKR,14,6,8,12,0.0,0,0
DC,14,5,9,10,0.0,0,0
SRH,14,4,10,8,0.0,0,0
