,matches,wins,losses,points,nrr,runs,wickets
KXIP,17,12,5,24,0.0,0,0
KKR,16,11,4,22,0.0,0,0
CSK,16,10,6,20,0.0,0,0
MI,15,7,8,14,0.0,0,0
SRH,14,6,8,12,0.0,0,0
RR,14,6,7,12,0.0,0,0
RCB,14,5,9,10,0.0,0,0
DD,14,2,12,4,0.0,0,0
