,matches,wins,losses,points,nrr,runs,wickets
KKR,17,12,5,24,0.0,0,0
DD,18,11,7,22,0.0,0,0
CSK,18,10,8,20,0.0,0,0
MI,17,10,7,20,0.0,0,0
RCB,15,8,7,16,0.0,0,0
KXIP,16,8,8,16,0.0,0,0
RR,16,7,9,14,0.0,0,0
SRH,15,4,11,8,0.0,0,0
PW,16,4,12,8,0.0,0,0
