,runs,wickets,batting_sr,bowling_economy
JR Hopes,196.0,7.0,120.98765432098766,8.393939393939394
BJ Hodge,285.0,8.0,116.3265306122449,6.895522388059702
DT Christian,190.0,11.0,118.01242236024845,7.360824742268041
RA Jadeja,283.0,9.0,120.94017094017093,7.057471264367816
KA Pollard,146.0,13.0,103.54609929078013,8.155555555555555
J Botha,230.0,7.0,114.99999999999999,6.63013698630137
SR Watson,330.0,8.0,128.90625,6.5840707964601775
JH Kallis,424.0,9.0,109.84455958549222,6.8
SK Raina,438.0,5.0,130.7462686567164,7.248554913294798
Harbhajan Singh,103.0,16.0,139.1891891891892,6.823170731707317
YK Pathan,283.0,13.0,138.04878048780486,6.0746887966804985
JA Morkel,138.0,16.0,127.77777777777777,8.357142857142858
PC Valthaty,463.0,7.0,131.90883190883193,7.795918367346939
IK Pathan,150.0,13.0,102.73972602739727,7.354166666666667
CH Gayle,608.0,9.0,177.77777777777777,6.986666666666666
JD Ryder,292.0,5.0,145.273631840796,7.595744680851064
Yuvraj Singh,343.0,9.0,127.5092936802974,6.6171428571428565
